filename,character,dialogue,scene
S07E05 The Engagement Picture.txt,Chandler,Hey.,2
S07E05 The Engagement Picture.txt,Monica,What’s the matter?,2
S07E05 The Engagement Picture.txt,Chandler,Someone on the subway licked my neck! Licked my neck!!,2
S07E05 The Engagement Picture.txt,Phoebe,Oh Willie’s still alive!,2
S07E05 The Engagement Picture.txt,Chandler,What are you guys doing?,2
S07E05 The Engagement Picture.txt,Monica,"Oh, my mom called, they’re gonna run our engagement announcement in the local paper, so we’re looking for a good picture of us.",2
S07E05 The Engagement Picture.txt,Chandler,"Oooh, I’m afraid that does not exist.",2
S07E05 The Engagement Picture.txt,Monica,"That’s not true, there are great pictures of us!",2
S07E05 The Engagement Picture.txt,Phoebe,Oh my God! That’s the creep that you’re with at the Statue of Liberty.,3
S07E05 The Engagement Picture.txt,Chandler,"I don’t know what it is, I just can’t take a good picture.",3
S07E05 The Engagement Picture.txt,Chandler,"Yeah, I’m not in that.",4
S07E05 The Engagement Picture.txt,Monica,"I know, but look at me all tan.",4
S07E05 The Engagement Picture.txt,Phoebe,"Hey, why don’t you guys go, get portraits done by a professional photographer.",4
S07E05 The Engagement Picture.txt,Phoebe,"Yeah that’s great! Next to that, Chandler won’t look so stupid.",5
S07E05 The Engagement Picture.txt,Monica,Chandler what do you say?,5
S07E05 The Engagement Picture.txt,Chandler,How about those three pointers?,8
S07E05 The Engagement Picture.txt,Ross,Amazing!,8
S07E05 The Engagement Picture.txt,Rachel,"Hey look-look, Phoebe’s talking to uh, Cute Coffeehouse Guy.",10
S07E05 The Engagement Picture.txt,Ross,"Oh, you guys call him Cute Coffeehouse Guy, we call him Hums While He Pees.",10
S07E05 The Engagement Picture.txt,Chandler,"Yes, and we call Ross Lingers In The Bathroom.",10
S07E05 The Engagement Picture.txt,Rachel,"Hey, I thought that guy was married.",11
S07E05 The Engagement Picture.txt,Phoebe,He is! But he’s getting divorced—Ross! Maybe you know him.,11
S07E05 The Engagement Picture.txt,Ross,It’s not a club.,11
S07E05 The Engagement Picture.txt,Rachel,"Phoebe, if this guy’s going through a divorce, is it such a good idea to start going out with him?",11
S07E05 The Engagement Picture.txt,Ross,"Hey, divorced men are not bad men!",11
S07E05 The Engagement Picture.txt,Chandler,They have that on the napkins at the club.,11
S07E05 The Engagement Picture.txt,Rachel,"Oh, I gotta get back to work.",11
S07E05 The Engagement Picture.txt,Phoebe,You don’t have to be back for a half-hour!,11
S07E05 The Engagement Picture.txt,Rachel,"Yeah but, my assistant Tag does sit-ups in the office during lunch. Ohh! I could just spread him on a cracker.",11
S07E05 The Engagement Picture.txt,Chandler,"Rach, if you have a crush on this guy, why would you hire him? I mean y’know you can’t date him right?",11
S07E05 The Engagement Picture.txt,Rachel,"Oh no, I know that. I know that. Although, we made a joke that we spend so much time together he should call me his work wife.",11
S07E05 The Engagement Picture.txt,Ross,"Soon he’ll be able to call you, that lady he knew who got fired.",11
S07E05 The Engagement Picture.txt,Rachel,"I am not gonna get fired, because I’m not gonna act on it.",11
S07E05 The Engagement Picture.txt,Phoebe,So you wouldn’t mind if he was dating someone else?,11
S07E05 The Engagement Picture.txt,Rachel,Why? Is he? He is! Isn’t he? He’s dating that slut in marketing!,11
S07E05 The Engagement Picture.txt,Ross,Maybe I should open a divorced men’s club.,11
S07E05 The Engagement Picture.txt,Chandler,Dude that is so sad.,11
S07E05 The Engagement Picture.txt,Ross,I could put uh-uh a basketball court in the back.,11
S07E05 The Engagement Picture.txt,Chandler,Could I play?,11
S07E05 The Engagement Picture.txt,Rachel,"Oh, no sit-ups today Tag?",12
S07E05 The Engagement Picture.txt,Tag,I just did them.,12
S07E05 The Engagement Picture.txt,Rachel,"Oh, well drop and give me ten more!",12
S07E05 The Engagement Picture.txt,Tag,What?,12
S07E05 The Engagement Picture.txt,Rachel,"Uh, I-I had a drink with lunch. Did those cost reports come in?",12
S07E05 The Engagement Picture.txt,Tag,"Yeah, I filled them out last night?",12
S07E05 The Engagement Picture.txt,Rachel,"Oh, great could you make me four copies of those?",12
S07E05 The Engagement Picture.txt,Melissa,Hey Rachel!,13
S07E05 The Engagement Picture.txt,Melissa,"Umm, is Tag here?",14
S07E05 The Engagement Picture.txt,Rachel,No. Why?,14
S07E05 The Engagement Picture.txt,Melissa,"Oh, I was gonna talk to him about doing something tonight.",14
S07E05 The Engagement Picture.txt,Rachel,Really?! Got a little crush on Tag there do ya?,14
S07E05 The Engagement Picture.txt,Melissa,"Well, we’ve been flirting back and forth, but I was hoping that tonight it would turn into something a little more than that.",14
S07E05 The Engagement Picture.txt,Rachel,"Okay, whoa-whoa easy there Melissa! This ain’t a locker room, okay? But, y’know I remember him saying that-that he had plans tonight.",14
S07E05 The Engagement Picture.txt,Melissa,Oh no!,14
S07E05 The Engagement Picture.txt,Rachel,"Oh yeah. All right, back to work.",14
S07E05 The Engagement Picture.txt,Melissa,Hey! Isn’t that Tag’s backpack.,14
