filename,character,dialogue,scene
S05E03 Hundredth.txt,Alice,We have our babies?,79
S04E17 The Free Porn.txt,Alice,Three babies?,27
S04E17 The Free Porn.txt,Alice,"We’re gonna have a big family, I’ve always wanted a big family!",27
S04E17 The Free Porn.txt,Alice,Right.,28
S04E17 The Free Porn.txt,Alice,"No-no-no, no, it’s going to be fine. Because umm, because I teach Home Ec, and uh, I can have 30 kids making baby clothes all year long. Y’know it’ll-it’ll be like my very own little sweatshop.",28
S04E17 The Free Porn.txt,Alice,"No, Frank.",28
S04E17 The Free Porn.txt,Alice,Yeah.,28
S04E18 Rachels New Dress.txt,Alice,"Umm, actually, I came down to ask you a big favour.",5
S03E18 The Hypnosis Tape.txt,Alice,"Y'know it-it’s funny, um, Frank told me so much about you, but your not how I pictured you at all.",17
S03E18 The Hypnosis Tape.txt,Alice,And he was my best student.,18
S03E18 The Hypnosis Tape.txt,Alice,"Yeah. Y'know we-we talked about just living together, but um, we want to have kids right away.",19
S03E18 The Hypnosis Tape.txt,Alice,"Y'know, I mean, really we do realise that there’s an age difference between us.",20
S03E18 The Hypnosis Tape.txt,Alice,"Oh no, but when it comes to love, what does age matter?",20
S03E18 The Hypnosis Tape.txt,Alice,"Oh my God, who died on this?!",47
S03E18 The Hypnosis Tape.txt,Alice,"Absolutely. Okay, first we’ll start with a little club soda and salt, and then if that doesn’t work we can go back to…",47
S03E18 The Hypnosis Tape.txt,Alice,"Oh no-no, never say that. If we can’t get it out then we can cut around the stain, add a little lace, you make a stylish throw.",47
S03E18 The Hypnosis Tape.txt,Alice,Hi Frank.,69
S03E18 The Hypnosis Tape.txt,Alice,"Right, not just that. Umm, even though we love each other as much as we do, none the less…",70
S04E12 The Embryos.txt,Alice,"Sweety, now, she’s a woman, not a gumball machine.",17
S04E12 The Embryos.txt,Alice,"Umm, it costs $16,000 each time you do this. So, umm, we’re kinda using all the money we have to do it just this one time.",17
S04E12 The Embryos.txt,Alice,"Hi, Phoebe! We were just at the drugstore and we got you a little present.",62
S04E12 The Embryos.txt,Alice,"So umm, you feel like taking a test? There’s only one question.",62
S04E12 The Embryos.txt,Alice,Okay.,62
S04E11 Phoebes Uterus.txt,Alice,"Sweety, now, she’s a woman, not a gumball machine.",17
S04E11 Phoebes Uterus.txt,Alice,"Umm, it costs $16,000 each time you do this. So, umm, we’re kinda using all the money we have to do it just this one time.",17
S04E11 Phoebes Uterus.txt,Alice,"Hi, Phoebe! We were just at the drugstore and we got you a little present.",62
S04E11 Phoebes Uterus.txt,Alice,"So umm, you feel like taking a test? There’s only one question.",62
S04E11 Phoebes Uterus.txt,Alice,Okay.,62
