filename,character,dialogue,scene
S01E18 All The Poker.txt,All,That's great! That's wonderful!,51
S07E08 Chandler Doesnt Like Dogs.txt,All,What?,37
S07E21 The Vows.txt,All,Bye!,80
S02E02 The Breast Milk.txt,All,No thanks.,10
S02E02 The Breast Milk.txt,All, Hi!,13
S10E08 The Late Thanksgiving.txt,All,What?,2
S01E16 The Two Parts Part I.txt,All,Hey guys! Hey!,10
S06E09 Ross Got High.txt,All,Hey!,30
S06E09 Ross Got High.txt,All,Hey!,34
S06E09 Ross Got High.txt,All,Hi!,38
S05E11 All The Resolutions.txt,All,"No. No, you're not a loser.",83
S06E04 Joey Loses His Insurance.txt,All,Oh that’d be great. Sure!,18
S06E04 Joey Loses His Insurance.txt,All,"Ohh! We’re kidding! Oh, we’re kidding!",23
S03E13 Monica And Richard Are Just Friends.txt,All,Hey.,15
S03E13 Monica And Richard Are Just Friends.txt,All,Hey.,17
S05E03 Hundredth.txt,All,Hey!,16
S05E03 Hundredth.txt,All,"Yeah, sure yeah. Yeah.",90
S03E16 The Morning After.txt,All,Ohhhhh!,93
S02E12-S02E13 The Superbowl.txt,All,Alright!,8
S02E12-S02E13 The Superbowl.txt,All,Hey.,10
S02E12-S02E13 The Superbowl.txt,All,Hi Phoebe.,25
S02E12-S02E13 The Superbowl.txt,All,Hi Phoebe.,38
S02E12-S02E13 The Superbowl.txt,All,Woah.,59
S02E12-S02E13 The Superbowl.txt,All,Hi.,103
S01E11 Mrs. Bing.txt,All,Shhh.,19
S01E11 Mrs. Bing.txt,All,Awww!,22
S01E11 Mrs. Bing.txt,All,Nooo!,97
S06E10 The Routine.txt,All,Hey,3
S06E10 The Routine.txt,All,Bye!,15
S06E10 The Routine.txt,All,"Three, Two, One!",58
S03E11 Chandler Cant Remember Which Sister.txt,All,"Oh, I got it.",10
S03E11 Chandler Cant Remember Which Sister.txt,All,Oh.,16
S03E11 Chandler Cant Remember Which Sister.txt,All,Woooo hoooo!!!,49
S03E11 Chandler Cant Remember Which Sister.txt,All,Yeah! Punch him!!,91
S03E11 Chandler Cant Remember Which Sister.txt,All,Yeah! Punch him! Punch him!,92
S04E14 Joeys Dirty Day.txt,All,Great!,9
S05E08 The Thanksgiving Flashbacks.txt,All,"Yeah, sure.",2
S05E08 The Thanksgiving Flashbacks.txt,All,"Oh, come on!",12
S05E08 The Thanksgiving Flashbacks.txt,All,Which one?,29
S04E04 The Ballroom Dancing.txt,All,Hey!,43
S06E01 Vegas.txt,All,Oh yeah!,41
S05E02 All The Kissing.txt,All,Hey!,13
S05E02 All The Kissing.txt,All,Sorry.,38
S05E02 All The Kissing.txt,All,Pheebs! Hey Pheebs!,64
S05E02 All The Kissing.txt,All,Whoa-whoa-whoa-whoa! Wait-wait!,83
S04E16 The Fake Party.txt,All,Hey!,13
S04E16 The Fake Party.txt,All,Hey!,19
S04E16 The Fake Party.txt,All,Yay!,49
S04E16 The Fake Party.txt,All,Ohh!,57
S04E16 The Fake Party.txt,All,Oh my God!,57
S04E16 The Fake Party.txt,All,E!,68
S04E16 The Fake Party.txt,All,M!,68
S04E16 The Fake Party.txt,All,I!,68
S04E16 The Fake Party.txt,All,L!,68
S04E16 The Fake Party.txt,All,Y!,68
S10E06 Rosss Grant.txt,All,Hey!,3
S10E06 Rosss Grant.txt,All,OH!,4
S10E06 Rosss Grant.txt,All,Whoo!,6
S04E10 The Girl From Poughkeepsie.txt,All,Hey!,12
S04E10 The Girl From Poughkeepsie.txt,All,Hey!,23
S03E02 No Ones Ready.txt,All,Hey.,14
S03E02 No Ones Ready.txt,All,Nooo.,31
S06E24 The Proposal Part I  II.txt,All,"Yeah! Yeah, sort of. I’m sorry.",17
S01E13 The Boobies.txt,All,"Hey! Hey, Mr. Trib!",8
S01E13 The Boobies.txt,All,"Hey, Pheebs.",47
S01E13 The Boobies.txt,All,Yeah. Hate him.,48
S01E13 The Boobies.txt,All,"...No, we hate him.",48
S01E13 The Boobies.txt,All,"Hey, Pheebs.",56
S01E13 The Boobies.txt,All,Awww.,56
S01E13 The Boobies.txt,All,Aaawwwwww!!,56
S01E06 The Butt.txt,All,Yeah!,10
S01E06 The Butt.txt,All,Hey! You're in a play! I didn't know you could dance! You had a beard!,14
S01E06 The Butt.txt,All,...Hey! You're in a play! I didn't know you could dance! You had a beard!,15
S01E06 The Butt.txt,All,Hey.,18
S01E06 The Butt.txt,All,Ooooohhh.,20
S01E06 The Butt.txt,All,What?!,20
S01E06 The Butt.txt,All,Yeah! C'mon!,22
S01E06 The Butt.txt,All,Very clean! It looks great! Terrific!,24
S01E06 The Butt.txt,All,Uh-oh...,24
S01E06 The Butt.txt,All,Oh my God! Whoah!,30
S01E06 The Butt.txt,All,Hey!,56
S01E06 The Butt.txt,All,Oh!,57
S01E06 The Butt.txt,All,Night.,59
S07E15 Joeys New Brain.txt,All,Hey!,7
S07E15 Joeys New Brain.txt,All,Oh!!,7
S10E16 Rachels Going Away Party.txt,All,"No, no, no, no!",70
S10E16 Rachels Going Away Party.txt,All,Hey!,85
S02E07 Ross Finds Out.txt,All,C'mon. Let her. Yeah.,2
S02E07 Ross Finds Out.txt,All,Sorry Phoebs.,12
S02E07 Ross Finds Out.txt,All,Hey.,17
S06E21 Ross Meets Elizabeths Dad.txt,All,Of course we’ll help! Yeah! We’ll be here!,13
S05E12 Chandlers Work Laugh.txt,All,What? Oh!,8
S08E04 The Videotape.txt,All,Hey!,10
S02E01 Rosss New Girlfriend.txt,All,Hi!,46
S03E19 The Tiny T-Shirt.txt,All,Hi! Hello!,10
S03E19 The Tiny T-Shirt.txt,All,Okay.,32
S03E07 The Race Car Bed.txt,All,Yay!!,14
S03E07 The Race Car Bed.txt,All,Wow!,15
S03E20 The Dollhouse.txt,All,Hey!,4
S03E20 The Dollhouse.txt,All,Hello.,19
S03E20 The Dollhouse.txt,All,Hey!,31
S01E08 Nana Dies Twice.txt,All,Yeah! Right!,3
S01E08 Nana Dies Twice.txt,All,Yes. Absolutely. A quality.,3
S01E08 Nana Dies Twice.txt,All,God! Ross!,54
S03E23 Rosss Thing.txt,All,What?!,22
S03E23 Rosss Thing.txt,All,"I love you, love you.",49
S03E23 Rosss Thing.txt,All,Good luck!,56
S05E10 The Inappropriate Sister.txt,All,Ohh.,12
S05E10 The Inappropriate Sister.txt,All,Hey Danny.,16
S01E22 The Ick Factor.txt,All,What?,13
S03E05 Frank Jr..txt,All,"Oh, hi.",12
S05E21 The Ball.txt,All,Hey!,69
S05E21 The Ball.txt,All,Congratulations! Congrats!,69
S05E21 The Ball.txt,All,Yeah! That's right. Yeah-yeah! Yeah!,70
S05E21 The Ball.txt,All,What?!,106
S05E21 The Ball.txt,All,That's terrible! I'm sorry!,106
S05E21 The Ball.txt,All,Yeah! As long as we're here!,111
S05E18 Rachel Smokes.txt,All,Surprise!!,95
S05E18 Rachel Smokes.txt,All,Surprise!,96
S04E09 Theyre Going To Party.txt,All,Yay!!,7
S05E06 The Yeti.txt,All,No! Why?,65
S05E06 The Yeti.txt,All,"Why, what happened?",82
S05E06 The Yeti.txt,All,What?!,82
S08E21 The Cooking Class.txt,All,No!,9
S10E14 Princess Consuela.txt,All,Hey.,7
S07E10 The Huliday Armadillo.txt,All,Hey!,9
S07E10 The Huliday Armadillo.txt,All,Ohh! That's great!,11
S04E03 The Cuffs.txt,All,"Oh, yeah. Yeah.",106
S05E15 The Girl Who Hits Joey.txt,All,Hi!,21
S05E15 The Girl Who Hits Joey.txt,All,"Oh yeah, aww!",81
S05E15 The Girl Who Hits Joey.txt,All,"Yeah, get out! Now!",81
S06E20 Mac And C.H.E.E.S.E..txt,All, Ohhhhhh!,34
S02E17 Eddie Moves In.txt,All,No.,2
S02E17 Eddie Moves In.txt,All,OK.,10
S02E17 Eddie Moves In.txt,All,Hey.,47
S02E17 Eddie Moves In.txt,All,Hey.,59
S02E17 Eddie Moves In.txt,All,No.,59
S02E17 Eddie Moves In.txt,All,"Smelly cat, smell-ly cat, it's not your fault.",67
S10E05 Rachels Sister Babysits.txt,All,Hey Phoebe!,4
S05E19 Ross Cant Flirt.txt,All,Caitlin!,90
S01E20 The Evil Orthodontist.txt,All,Oh!... Right!,10
S01E20 The Evil Orthodontist.txt,All,Hey! Hi!,29
S01E20 The Evil Orthodontist.txt,All,Hi. Hi.,75
S01E20 The Evil Orthodontist.txt,All,Bye.,75
S03E09 The Football.txt,All,Yes!!,45
S03E09 The Football.txt,All,Yeah.,47
s03E25 At The Beach.txt,All,Oh!,9
