filename,character,dialogue,scene
S10E05 Rachels Sister Babysits.txt,Amy,You're not Rachel.,12
S10E05 Rachels Sister Babysits.txt,Amy,"Um... Charlie, this is Rachel's sister Amy. Amy, this is Charlie.",12
S10E05 Rachels Sister Babysits.txt,Amy,Hi!,12
S10E05 Rachels Sister Babysits.txt,Amy,"Yeah! Hey, sure! The ""Days of Our Lives"" guy!",19
S10E05 Rachels Sister Babysits.txt,Amy,You're not good!,19
S10E05 Rachels Sister Babysits.txt,Amy,"Well, I have huge news.",19
S10E05 Rachels Sister Babysits.txt,Amy,"Why did you change it, Ella was so much prettier!",21
S10E05 Rachels Sister Babysits.txt,Amy,"Hey, your English is getting better!!",21
S10E05 Rachels Sister Babysits.txt,Amy,So beautiful.,26
S10E05 Rachels Sister Babysits.txt,Amy,"No, I was talking about your bedding.",26
S10E05 Rachels Sister Babysits.txt,Amy,Oh! Um... Well... I'm getting married.,26
S10E05 Rachels Sister Babysits.txt,Amy,This guy! He has a killer apartment.,26
S10E05 Rachels Sister Babysits.txt,Amy,A-And it's on Fifth. And the elevator opens up right into the living room.,26
S10E05 Rachels Sister Babysits.txt,Amy,Oh! He's ok. Do you remember my old boyfriend Mark?,26
S10E05 Rachels Sister Babysits.txt,Amy,It's his dad.,26
S10E05 Rachels Sister Babysits.txt,Amy,"Old? Yeah! But he travels a lot, so he's hardly ever there.",26
S10E05 Rachels Sister Babysits.txt,Amy,Myron. Hmm... I told you he was old!,26
S10E05 Rachels Sister Babysits.txt,Amy,"Humpf, remember him? How we used to make out all the time after you went to sleep.",26
S10E05 Rachels Sister Babysits.txt,Amy,I’m gonna marry Myron and keep looking for Mr Right.,28
S10E05 Rachels Sister Babysits.txt,Amy,"I took your advice, I left Myron.",43
S10E05 Rachels Sister Babysits.txt,Amy,I know! I'm Erin Brockovich!,43
S10E05 Rachels Sister Babysits.txt,Amy,"Thank you! So, can I stay with you?",43
S10E05 Rachels Sister Babysits.txt,Amy,"Well, I’m staying with you guys!",45
S10E05 Rachels Sister Babysits.txt,Amy,Good morning.,48
S10E05 Rachels Sister Babysits.txt,Amy,"Oh, sweety, you can’t pull this off.",48
S10E05 Rachels Sister Babysits.txt,Amy,She did? Who got her condo in Boca?,59
S10E05 Rachels Sister Babysits.txt,Amy,"Well, I can do it.",62
S10E05 Rachels Sister Babysits.txt,Amy,Hi!,81
S10E05 Rachels Sister Babysits.txt,Amy,"Ella wanted to go out, so we went shopping and got some sushi.",81
S10E05 Rachels Sister Babysits.txt,Amy,"Yeah, not really. Babies are dull.",81
S10E05 Rachels Sister Babysits.txt,Amy,"I'm fine! And, I got you a present for letting me stay with you. Ready?",83
S10E05 Rachels Sister Babysits.txt,Amy,Ta-daaa!,85
S10E05 Rachels Sister Babysits.txt,Amy,"Well, if I had told you, then it wouldn't have been surprise, now would it?",89
S10E05 Rachels Sister Babysits.txt,Amy,"Why, did something happen to his falafel cart?",90
S10E05 Rachels Sister Babysits.txt,Amy,"Hey you know what, this kid needs me, okay? She needs to have a cool fun aunt!",99
S10E05 Rachels Sister Babysits.txt,Amy,"Well, I don't need you to help me, because I already know what I'm going to do with my life.",100
S10E05 Rachels Sister Babysits.txt,Amy,Since today... I am going to be a baby stylist.,100
S10E05 Rachels Sister Babysits.txt,Amy,"Well, it should be. I'm gonna help babies learn how to accessorize, what colors to wear, what clothes are slimming...",101
S10E05 Rachels Sister Babysits.txt,Amy,Enter Amy!,102
S10E05 Rachels Sister Babysits.txt,Amy,What? What are you gonna do?,103
S10E05 Rachels Sister Babysits.txt,Amy,You're kicking me out?,117
S10E05 Rachels Sister Babysits.txt,Amy,"Yeah well, at least now people will know she is a girl!",117
S10E05 Rachels Sister Babysits.txt,Amy,"You know what? Ever since I got here, you have been nothing but negative.",118
S10E05 Rachels Sister Babysits.txt,Amy,"You know what? When I moved in here I thought: This is gonna be so great. Just us sisters, back together again like when we were kids, except without that stupid Jill... Oh! Who has gotten fat by the way...",121
S10E05 Rachels Sister Babysits.txt,Amy,hm-mmm... Mom said she gained like fifteen pounds.,122
S10E05 Rachels Sister Babysits.txt,Amy,Ass and face.,122
S10E05 Rachels Sister Babysits.txt,Amy,"She was. Carbs found her... See, this is what I wanted. Two sisters, talking about real stuff.",123
S10E05 Rachels Sister Babysits.txt,Amy,You can?,124
S10E05 Rachels Sister Babysits.txt,Amy,"Ugh, I'm sorry... Ella.",125
