filename,character,dialogue,scene
S01E05 The East German Laundry Detergent.txt,Angela,"Hi, Joey.",9
S01E05 The East German Laundry Detergent.txt,Angela,That's because I'm wearing a dress that accents my boobs.,12
S01E05 The East German Laundry Detergent.txt,Angela,Forget it Joey. I'm with Bob now.,14
S01E05 The East German Laundry Detergent.txt,Angela,"Bob is great. He's smart, he's sophisticated, and he has a real job. You, you go on three auditions a month and you call yourself an actor, but Bob...",14
S01E05 The East German Laundry Detergent.txt,Angela,"Yeah, well, sorry, Joe. You said let's just be friends, so guess what?",14
S01E05 The East German Laundry Detergent.txt,Angela,We're just friends.,14
S01E05 The East German Laundry Detergent.txt,Angela,What four of us?,14
S01E05 The East German Laundry Detergent.txt,Angela,"Hey, Joey.",22
S01E05 The East German Laundry Detergent.txt,Angela,Brooklyn Heights.,42
S01E05 The East German Laundry Detergent.txt,Angela,"Yeah, isn't he?",44
S01E05 The East German Laundry Detergent.txt,Angela,You know what else? He's unbelievable in bed.,44
S01E05 The East German Laundry Detergent.txt,Angela,Huh. That's nice.,44
