filename,character,dialogue,scene
S10E03 Rosss Tan.txt,Assistant,"Alright Mr. Geller! Right this way! So, how dark do you wanna be? We have one, two or three.",19
S10E03 Rosss Tan.txt,Assistant,Puerto Rican.,19
S10E03 Rosss Tan.txt,Assistant,"You've got to face the red light. When the red light goes on the spraying is about to start so close your eyes. When the spraying stops, count to five. Pat yourself down to avoid drip marks then turn around so we can get your back. Got it?",19
S10E03 Rosss Tan.txt,Assistant,"Wow, you catch on quick.",19
S10E03 Rosss Tan.txt,Assistant,You've never turned?,22
S10E03 Rosss Tan.txt,Assistant,Mississippi? I said count to five'!,22
S10E03 Rosss Tan.txt,Assistant,"Ain't that bad yet, but it keeps getting darker for the next four hours.",23
S10E03 Rosss Tan.txt,Assistant,You got sprayed with two two' s and...,23
S10E03 Rosss Tan.txt,Assistant,"Yeah, but you're back's a zero. You're gonna wanna even that out.",23
S10E03 Rosss Tan.txt,Assistant,You might wanna get back in there.,24
S10E03 Rosss Tan.txt,Assistant,You got two more twos?,27
