filename,character,dialogue,scene
S03E08 The Giant Poking Device.txt,Ben,Monica.,34
S03E08 The Giant Poking Device.txt,Ben,Monica bang!,34
S03E08 The Giant Poking Device.txt,Ben,Monica bang!,34
S03E08 The Giant Poking Device.txt,Ben,Monica.,48
S03E08 The Giant Poking Device.txt,Ben,Monica bang!,48
S05E11 All The Resolutions.txt,Ben,Hi!,32
S07E16 The Truth About London.txt,Ben,Hi.,2
S07E16 The Truth About London.txt,Ben,Don’t talk to me now!,7
S07E16 The Truth About London.txt,Ben,I’ll be okay.,10
S07E16 The Truth About London.txt,Ben,Bye dad.,11
S07E16 The Truth About London.txt,Ben,Not really.,12
S07E16 The Truth About London.txt,Ben,Okay.,12
S07E16 The Truth About London.txt,Ben,I’m not allowed to have soda.,12
S07E16 The Truth About London.txt,Ben,What’s a virgin?,13
S07E16 The Truth About London.txt,Ben,But you’re not anymore!,18
S07E16 The Truth About London.txt,Ben,‘Cause you guys were on a break.,18
S07E16 The Truth About London.txt,Ben,When’s my daddy coming back?,18
S07E16 The Truth About London.txt,Ben,Sharing is good.,19
S07E16 The Truth About London.txt,Ben,Really? Like how?,19
S07E16 The Truth About London.txt,Ben,"Yeah, you’re funny.",20
S07E16 The Truth About London.txt,Ben,Can I do it to you?,21
S07E16 The Truth About London.txt,Ben,Don’t do that.,50
S07E16 The Truth About London.txt,Ben,"Seriously, your dad doesn’t like pranks.",50
S07E16 The Truth About London.txt,Ben,Oh damnit!,50
S07E16 The Truth About London.txt,Ben,Damnit!,50
S07E16 The Truth About London.txt,Ben,Damnit!,50
S07E16 The Truth About London.txt,Ben,Oh crap!,50
S07E16 The Truth About London.txt,Ben,No more pranks.,90
S07E16 The Truth About London.txt,Ben,That you and daddy were not on a break.,90
S07E16 The Truth About London.txt,Ben,What did we just finish talking about Ben?!,106
S05E18 Rachel Smokes.txt,Ben,Hi!!,8
S07E10 The Huliday Armadillo.txt,Ben,No.,28
S07E10 The Huliday Armadillo.txt,Ben,Christmas.,29
S07E10 The Huliday Armadillo.txt,Ben,Christmas eve.,29
S07E10 The Huliday Armadillo.txt,Ben,Santa has reindeers that can fly!,30
S07E10 The Huliday Armadillo.txt,Ben,When is Santa coming?,34
S07E10 The Huliday Armadillo.txt,Ben,No Santa? Was I bad?,34
S07E10 The Huliday Armadillo.txt,Ben,Santa's mad at me.,34
S07E10 The Huliday Armadillo.txt,Ben,So Santa's coming?,35
S07E10 The Huliday Armadillo.txt,Ben,Texas?,66
S07E10 The Huliday Armadillo.txt,Ben,Wow! Thanks!,68
S07E10 The Huliday Armadillo.txt,Ben,"Are you for Hanukkah, too? Because I'm part-Jewish.",68
S07E10 The Huliday Armadillo.txt,Ben,Cool!,70
S07E10 The Huliday Armadillo.txt,Ben,"Did you bring me any presents, Santa?",74
S07E10 The Huliday Armadillo.txt,Ben,No! Why does he have to go?,80
S07E10 The Huliday Armadillo.txt,Ben,No! Why can't the Armadillo leave? I want Santa!,81
S07E10 The Huliday Armadillo.txt,Ben,"Okay, Santa!",81
S07E10 The Huliday Armadillo.txt,Ben,Awesome!,94
S07E24 Friends Special The Stuff Youve Never Seen.txt,Ben,Da…Da.,90
S07E24 Friends Special The Stuff Youve Never Seen.txt,Ben,Da…Da.,91
S07E24 Friends Special The Stuff Youve Never Seen.txt,Ben,Da…Da.,91
S07E09 All The Candy.txt,Ben,Uh-huh!,3
S09E10 Christmas In Tulsa.txt,Ben,Cool!,29
S08E10 Monicas Boots.txt,Ben,"Aunt Phoebe, what are you doing here?",47
S08E10 Monicas Boots.txt,Ben,Jack? I hate him! He’s a jerk.,47
S02E20 Old Yeller Dies.txt,Ben,Hi.,43
S02E20 Old Yeller Dies.txt,Ben,Bye.,43
S02E20 Old Yeller Dies.txt,Ben,Bye.,43
S02E20 Old Yeller Dies.txt,Ben,Bye.,43
S02E20 Old Yeller Dies.txt,Ben,Bye.,43
