filename,character,dialogue,scene
S09E07 Rosss Inappropriate Song.txt,Bitsy,It's so nice to finally meet you!,32
S09E07 Rosss Inappropriate Song.txt,Bitsy,"Well thank you, I'll give you a tour later. It's actually three floors.",32
S09E07 Rosss Inappropriate Song.txt,Bitsy,"Phoebe, why don't you come in the living room and meet our friends?",32
S09E07 Rosss Inappropriate Song.txt,Bitsy,"Phoebe, come sit. Tell us a little bit about yourself... So where are you from?",35
S09E07 Rosss Inappropriate Song.txt,Bitsy,"Well, not at all...",41
S09E07 Rosss Inappropriate Song.txt,Bitsy,"Thank you, I think so too.",41
S09E07 Rosss Inappropriate Song.txt,Bitsy,Is he really?,41
S09E07 Rosss Inappropriate Song.txt,Bitsy,E-e-excuse me?,41
S09E07 Rosss Inappropriate Song.txt,Bitsy,Oh!,56
S09E07 Rosss Inappropriate Song.txt,Bitsy,We were just chit-chatting. How's your friend?,65
S09E07 Rosss Inappropriate Song.txt,Bitsy,"By the way, do you know who's moving back into town? Tom and Sue's daughter Jen.",65
S09E07 Rosss Inappropriate Song.txt,Bitsy,"Oh, please darling, let's be honest. You can have all the... sailor fun you want with that one, but... let's be real...",65
