filename,character,dialogue,scene
S08E05 Rachels Date.txt,Bob,Hey! How’s my pal Toby doing today?,28
S08E05 Rachels Date.txt,Bob,"Hey Toby, you got a sec?",37
S08E05 Rachels Date.txt,Bob,"I just had a meeting, I was actually hoping to get transferred up here, but I just found out its not gonna happen. Apparently somebody thinks I’m not eleventh floor material. Say uh, who the hell is this Chandler?",37
S08E05 Rachels Date.txt,Bob,Hey Toby!,54
S08E05 Rachels Date.txt,Bob,"It’s Bob actually. Hey, you work up here, can you tell me where this Chandler Bing’s office is?",54
S08E05 Rachels Date.txt,Bob,"I want to talk to that bastard, see what his problem is.",55
S08E05 Rachels Date.txt,Bob,Toby don’t.,55
S08E05 Rachels Date.txt,Bob,Toby! I’m not gonna let you cover for him. Anything you say right now will just get me more upset with Chandler!,55
S08E05 Rachels Date.txt,Bob,"I just found out this is Chandler’s office! Come on Toby, give me a hand!",74
S05E10 The Inappropriate Sister.txt,Bob,"Uh, Phoebe we've been getting complaints and uh, we're gonna move you to a less high-profile spot.",93
S05E10 The Inappropriate Sister.txt,Bob,"Umm, Ginger's gonna take over this corner.",93
S05E10 The Inappropriate Sister.txt,Bob,"Look, either you leave, or we remove you.",93
S01E05 The East German Laundry Detergent.txt,Bob,Cleveland.,42
S01E05 The East German Laundry Detergent.txt,Bob,Yep. Pretty much.,43
S01E05 The East German Laundry Detergent.txt,Bob,"Huh, I never really noticed.",43
S01E05 The East German Laundry Detergent.txt,Bob,"Monica, Monica is great.",43
