filename,character,dialogue,scene
S04E01 The Jellyfish.txt,Bonnie,Rachel was just helping me out. My head got all sunburned.,14
s03E25 At The Beach.txt,Bonnie,"All right, I was 15, it was my best friend, Ruth, and we got drunk on that hard cider, and then suddenly, I don’t know, we were, we were making out.",3
s03E25 At The Beach.txt,Bonnie,Hey!,64
s03E25 At The Beach.txt,Bonnie,"Hi! My boss let me off early, so I took the train.",65
s03E25 At The Beach.txt,Bonnie,What are you guys doing?!,65
s03E25 At The Beach.txt,Bonnie,Hey! How did everybody sleep?,70
s03E25 At The Beach.txt,Bonnie,"Hey, what happened to you?",74
s03E25 At The Beach.txt,Bonnie,"Oh, the water was sooo great! We jumped off this pier and my suit came off.",74
s03E25 At The Beach.txt,Bonnie,"Yeah, Joey and Chandler sure are funny.",74
s03E25 At The Beach.txt,Bonnie,I think I brought back half of the beach in my hair. It was so much easier when I used to shave my head.,74
s03E25 At The Beach.txt,Bonnie,Really?!,74
s03E25 At The Beach.txt,Bonnie,Because I think about shaving it all off again sometime.,74
s03E25 At The Beach.txt,Bonnie,Yeah!,74
s03E25 At The Beach.txt,Bonnie,"Y'know what, I should do it.",74
s03E25 At The Beach.txt,Bonnie,"Yeah, thank you Rachel, you are soo cool.",74
s03E25 At The Beach.txt,Bonnie,All right.,74
s03E25 At The Beach.txt,Bonnie,"Hey, everybody!",78
s03E25 At The Beach.txt,Bonnie,You wanna touch it?,80
s03E25 At The Beach.txt,Bonnie,"Come on, touch it!",80
s03E25 At The Beach.txt,Bonnie,"So, anyone up for a midnight dip in the ocean?",83
s03E25 At The Beach.txt,Bonnie,"Okay, I’ll see you in a bit.",83
s03E25 At The Beach.txt,Bonnie,"You guys, the water’s great. You should really go in.",99
s03E25 At The Beach.txt,Bonnie,"Okay, well g’night.",99
S03E24 The Ultimate Fighting Champion.txt,Bonnie,Hi!,49
S03E24 The Ultimate Fighting Champion.txt,Bonnie,I can show you an ID if you want?,50
S03E24 The Ultimate Fighting Champion.txt,Bonnie,"Oh yeah, well I just started wearing bras again.",50
S03E24 The Ultimate Fighting Champion.txt,Bonnie,Thanks! You too.,51
