filename,character,dialogue,scene
S04E17 The Free Porn.txt,Both,Three.,70
S02E06 The Baby On The Bus.txt,Both,Stop the bus! Wait! Wait! Wait!,19
S08E19 Joeys Interview.txt,Both,Three.,50
S01E19 The Monkey Gets Away.txt,Both,Marcel?,41
S01E19 The Monkey Gets Away.txt,Both,"Hey! Hey, Bananaman!",51
S04E19 All The Haste.txt,Both,All right!,18
S04E19 All The Haste.txt,Both,"Sunshine is here! The sky is clear, the morning’s here!",74
S04E19 All The Haste.txt,Both,The dark of night has disappeared!!,76
S10E15 Estelle Dies.txt,Both,YAY! WHOO! YAY!,72
S01E04 George Stephanopoulos.txt,Both,"Hey, buddy.",79
S02E14 The Prom Video.txt,Both,"Oh, ohhhhh.",61
S10E01 Joey and Rachel Kiss.txt,Both,Yeah,54
