filename,character,dialogue,scene
S08E07 The Stain.txt,Brenda,"Mrs. Bing, this tile cleaner is incredible! Where’d you get it?",20
S08E07 The Stain.txt,Brenda,"Okay. Uhh, I’m gonna go get the clothes from the laundry room now. And, when I come back I’ll clean behind the refrigerator.",20
S08E07 The Stain.txt,Brenda,I’ll be back in a minute.,21
S08E07 The Stain.txt,Brenda,Oh thanks! I like your top.,41
S08E07 The Stain.txt,Brenda,What happened?!,43
S08E07 The Stain.txt,Brenda,I was thinking about taking my lunch break.,43
S08E07 The Stain.txt,Brenda,All right.,43
S08E07 The Stain.txt,Brenda,What’s going on?!,44
S08E07 The Stain.txt,Brenda,Okay. (Goes over and fluffs up the pillows on the couch.,66
S08E07 The Stain.txt,Brenda,What?,66
S08E07 The Stain.txt,Brenda,I think I know what’s going on here.,66
S08E07 The Stain.txt,Brenda,"Look, I know it must be hard that your wife is a lesbian, but it’s wrong. You’re married.",66
