filename,character,dialogue,scene
S07E19 Ross And Monicas Cousin.txt,Cassie,I thought I heard voices. You must be Chandler.,24
S07E19 Ross And Monicas Cousin.txt,Cassie,Nice to meet you too.,25
S07E19 Ross And Monicas Cousin.txt,Cassie,Yeah.,25
S07E19 Ross And Monicas Cousin.txt,Cassie,Hey Ross!,46
S07E19 Ross And Monicas Cousin.txt,Cassie,"Ah yeah, sorry about that.",47
S07E19 Ross And Monicas Cousin.txt,Cassie,"Thanks for letting me stay here! I mean Monica’s place was nice, but her fiancee sure stares a lot.",47
S07E19 Ross And Monicas Cousin.txt,Cassie,Oh my God! You do a great Chandler!,48
S07E19 Ross And Monicas Cousin.txt,Cassie,"Well, maybe after we get reacquainted uh, you can do me.",48
S07E19 Ross And Monicas Cousin.txt,Cassie,I’m all done.,49
S07E19 Ross And Monicas Cousin.txt,Cassie,I guess the last time we really hung out was when our parents rented that beach house together.,50
S07E19 Ross And Monicas Cousin.txt,Cassie,"It took you that long to figure it out, huh?",53
S07E19 Ross And Monicas Cousin.txt,Cassie,Yeah! Thank you so much for letting me stay here.,83
