filename,character,dialogue,scene
S07E15 Joeys New Brain.txt,Cecilia,"Oh, just years of experience.",28
S07E15 Joeys New Brain.txt,Cecilia,You’re not the fan who’s dying are you?,29
S07E15 Joeys New Brain.txt,Cecilia,Oh that was a real person?!,30
S07E15 Joeys New Brain.txt,Cecilia,I-I-I’m leaving the show?,30
S07E15 Joeys New Brain.txt,Cecilia,Who told you that?,31
S07E15 Joeys New Brain.txt,Cecilia,Which one? Was it bald or was it tall?,31
S07E15 Joeys New Brain.txt,Cecilia,Y’know what? It doesn’t matter! Because it is not true!,31
S07E15 Joeys New Brain.txt,Cecilia,"Yeah, thanks.",56
S07E15 Joeys New Brain.txt,Cecilia,Oh you’re right. Thank you! What’s your name again?,56
S07E15 Joeys New Brain.txt,Cecilia,"All right Joey, I will help you. Not because I-I owe it to this stupid show, but because I owe it to Jessica.",58
S07E15 Joeys New Brain.txt,Cecilia,You’re so welcome.,58
S07E15 Joeys New Brain.txt,Cecilia,Is that supposed to be me?,59
S07E15 Joeys New Brain.txt,Cecilia,Yeah but Jessica doesn’t have an English accent.,59
S07E15 Joeys New Brain.txt,Cecilia,"No, he already knows that he owns everything in the room! He’s not finding it out for the first time! So, try it again.",66
S07E15 Joeys New Brain.txt,Cecilia,"I am. I am, but I don’t know you know. An actor of a certain age is not that easy.",68
S07E15 Joeys New Brain.txt,Cecilia,"I probably should’ve just left years ago when the offers were pouring in, but y’know I just got so comfy here! And… Ohh, I turned down some amazing work!",68
S07E15 Joeys New Brain.txt,Cecilia,"Well, let’s just say if I left 15 years ago, the landscape of Mexican cinema would be very different today!",68
S07E15 Joeys New Brain.txt,Cecilia,"Well, you certainly own that room.",95
S07E15 Joeys New Brain.txt,Cecilia,"Well, it’s nice to know that you…",97
S07E15 Joeys New Brain.txt,Cecilia,Oh that explains all the women’s underwear.,98
S07E15 Joeys New Brain.txt,Cecilia,Certainly.,100
S07E15 Joeys New Brain.txt,Cecilia,"I’d love to, but my lawyer said I can’t do that anymore.",101
S07E15 Joeys New Brain.txt,Cecilia,"Oh no-no-no-no, being adored. I’m used to it, don’t worry about it.",105
S07E15 Joeys New Brain.txt,Cecilia,What?,106
S07E15 Joeys New Brain.txt,Cecilia,They don’t?,106
S07E15 Joeys New Brain.txt,Cecilia,How does it happen?,107
S07E15 Joeys New Brain.txt,Cecilia,Ah what?! Jessica hates horses!,108
S07E15 Joeys New Brain.txt,Cecilia,"Well of course not, but you were very good.",122
S07E15 Joeys New Brain.txt,Cecilia,And guess what? Good news! I got another job!,122
S07E15 Joeys New Brain.txt,Cecilia,A film in Guadalajara!,122
S07E15 Joeys New Brain.txt,Cecilia,Eight months.,123
S07E15 Joeys New Brain.txt,Cecilia,"Yeah, but you can come and visit me. I bet that you could uh, own a few places down there.",123
S07E15 Joeys New Brain.txt,Cecilia,"That is a tricky one. Well, Joey I really wanna thank you. You’ve, well you made a very difficult time for me a little less painful.",124
S07E15 Joeys New Brain.txt,Cecilia,You too.,124
