filename,character,dialogue,scene
S02E08 The List.txt,Chan,"All right, check out this bad boy. 12 megabytes of ram. 500 megabyte hard drive. Built-in spreadsheet capabilities and a modem that transmits at over 28,000 b.p.s.",5
S02E08 The List.txt,Chan,"Oh, I know. This must be so hard. Oh, no. Two women love me. They're both gorgeous and sexy. My wallet's too small for my fifties, and my diamond shoes are too tight.",29
S02E08 The List.txt,Chan,Don't touch the computer. Don't ever touch the computer.,30
S02E08 The List.txt,Chan,"Ok, all right, look. Let's get logical about this, ok? We'll make a list. Rachel and Julie, pros and cons. Oh. We'll put their names in bold, with different fonts, and I can use different colors for each column.",31
S02E08 The List.txt,Chan,"No, Amish boy.",31
S02E08 The List.txt,Chan,Waitress. Got it. You guys wanna play Doom? Or we could keep doing this. What else?,31
S02E08 The List.txt,Chan,"Ok, let's do Julie. What's wrong with her?",31
S02E08 The List.txt,Chan,"I'm telling you this thing won't print. Yes, I pressed that button like 100 times. You know, for a hot line you are not so hot. What? What is that in the background? Are you watching Star Trek?",36
S02E08 The List.txt,Chan,"Yes, yes it is, short story, that I was writing.",54
S02E08 The List.txt,Chan,Good luck.,57
S02E08 The List.txt,Chan,"My diary! My diary, that's brilliant. I should have told her it was my diary, she never would have made me read her my diary.",61
S02E08 The List.txt,Chan,"Oh good, I was hoping that would come up.",61
S02E08 The List.txt,Chan,"All right, Pheebs, back me up here, ok? You believe in that karma crap, don't you?",62
S02E08 The List.txt,Chan,What are you doing out there?,69
S02E08 The List.txt,Chan,"Look, maybe we should go?",71
S02E07 Ross Finds Out.txt,Chan,"OK, what is it about me? Do I not look fun enough? Is there something. . . repellant. . . about me?",2
S02E07 Ross Finds Out.txt,Chan,"Well it couldn't have been worse. A woman literally passed through me. OK, so what is it, am I hideously unattractive?",2
S02E07 Ross Finds Out.txt,Chan,"Woah, woah, I've put on a little weight?",2
S02E07 Ross Finds Out.txt,Chan,"Oh, you know, I would, but that might get in the way of my lying around time.",2
S02E07 Ross Finds Out.txt,Chan,"Alright, OK, alright. But if we put on spandex and my boobs are bigger than yours, I'm goin' home.",2
S02E07 Ross Finds Out.txt,Chan,"One. . . two. . . two and a half. OK, just show me one of them.",9
S02E07 Ross Finds Out.txt,Chan,"Joey, be a pal. Lift up my hand and smack her with it.",14
S02E07 Ross Finds Out.txt,Chan,So you really OK about all this?,16
S02E07 Ross Finds Out.txt,Chan,Because it's Sunday. It's God's day.,38
S02E07 Ross Finds Out.txt,Chan,"OK, stop.",38
S02E07 Ross Finds Out.txt,Chan,"Monica, it's 6:30 in the morning. We're not working out, it's over.",61
S02E07 Ross Finds Out.txt,Chan,"OK, I don't, I don't mind the last pound. OK, in fact I kind of like the last pound. OK, so don't make me do anything that I'll regret.",61
S02E07 Ross Finds Out.txt,Chan,"Nothing, except tell you, uh, I think it's wonderful how much energy you have.",61
S02E07 Ross Finds Out.txt,Chan,"I mean, especially considering how tough it's been for you to find work.",61
S02E07 Ross Finds Out.txt,Chan,"You know, I mean, you can't tell your parents you were fired because they'd be disappointed.",61
S02E07 Ross Finds Out.txt,Chan,And it's not as if you have a boyfriend's shoulder to cry on.,62
S02E07 Ross Finds Out.txt,Chan,"I mean, if it were me, I think I'd have difficulty just getting out of bed at all.",62
S02E07 Ross Finds Out.txt,Chan,"So, you feel like goin' for a run?",62
S02E07 Ross Finds Out.txt,Chan,"Because, you know, you don't have to. If you want, you could just take a nap right here.",62
S02E10 Russ.txt,Chan,"OK, look, that is one guy's opinion, alright. Phoebs, read yours.",3
S02E10 Russ.txt,Chan,"Does anyone have one from a different paper? Ross, read yours.",4
S02E10 Russ.txt,Chan,I had about a mugful in this lovely 'I got boned at the Museum of Natural History' mug.,15
S02E10 Russ.txt,Chan,Hey.,26
S02E10 Russ.txt,Chan,Guess who's back in show business.,26
S02E10 Russ.txt,Chan,"No, no, Phoebs. You know why? Cause he's dead.",26
S02E10 Russ.txt,Chan,"OK, I guess this is gonna seem kinda bittersweet now, but... Joey, that's who.",26
S02E10 Russ.txt,Chan,"Hey, yeah... we could all sleep together and then one of us could get amnesia.",26
S02E10 Russ.txt,Chan,Bye..... ridiculously dull Bobby.,39
S02E10 Russ.txt,Chan,"You know, this is actually good, because if we ever lose Ross, we have a spare.",46
S02E10 Russ.txt,Chan,"Yes, yes, but did you see who she was dating?",49
S02E10 Russ.txt,Chan,"Yeah, it's annoying, isn't it?",49
S02E10 Russ.txt,Chan,Hey.,50
S02E10 Russ.txt,Chan,"Whoa, whoa, so I'm guessing you didn't get the part, or... uh, Italy called and said it was hungry.",50
S02E10 Russ.txt,Chan,Oh my God!,50
S02E10 Russ.txt,Chan,"So, what're you gonna do?",51
S02E10 Russ.txt,Chan,"Well, I... I've got a pop-up book that told me everything I need to know.",51
S02E10 Russ.txt,Chan,It's alright. Is she good-looking?,52
S02E10 Russ.txt,Chan,"Y'know, maybe this isn't such a big deal. Y'know, I mean, the way that I see it is you get a great job and you get to have sex. Y'know, I mean, throw in a tree and a fat guy and you've got Christmas.",53
S02E10 Russ.txt,Chan,Didn't you used to call it the Little Major?,53
S02E10 Russ.txt,Chan,"Hey, we're having some fun now, huh, Ross? Wanna do another one, huh Russ? OK... eleven letters, atomic element number 101... ends in ium.",58
S02E10 Russ.txt,Chan,"And weenie number two has it. Unless, of course, nine-down, Knights in White Satin was sung by the Doody Blues.",59
S02E10 Russ.txt,Chan,"OK, I'm gonna get some more coffee before the pinching and eye-poking begins.",62
S02E10 Russ.txt,Chan,"No, I don't even think he knew. Hey, would you sleep with somebody to get a great job?",65
S02E10 Russ.txt,Chan,Me.,65
S02E10 Russ.txt,Chan,It's my game. You want the job or not?,65
S02E10 Russ.txt,Chan,Hey.,66
S02E10 Russ.txt,Chan,I'll take one. Sometimes I like to hold stuff like this and pretend I'm a giant.,75
S02E10 Russ.txt,Chan,So what'd you do?,76
S02E10 Russ.txt,Chan,"Oh, hey.",79
S02E10 Russ.txt,Chan,"Yeah, I'm sorry man.",79
S02E10 Russ.txt,Chan,Hey!,81
