filename,character,dialogue,scene
S07E05 The Engagement Picture.txt,Chandler,Hey.,2
S07E05 The Engagement Picture.txt,Chandler,Someone on the subway licked my neck! Licked my neck!!,2
S07E05 The Engagement Picture.txt,Chandler,What are you guys doing?,2
S07E05 The Engagement Picture.txt,Chandler,"Oooh, I’m afraid that does not exist.",2
S07E05 The Engagement Picture.txt,Chandler,"I don’t know what it is, I just can’t take a good picture.",3
S07E05 The Engagement Picture.txt,Chandler,"Yeah, I’m not in that.",4
S07E05 The Engagement Picture.txt,Chandler,How about those three pointers?,8
S07E05 The Engagement Picture.txt,Chandler,"Yes, and we call Ross Lingers In The Bathroom.",10
S07E05 The Engagement Picture.txt,Chandler,They have that on the napkins at the club.,11
S07E05 The Engagement Picture.txt,Chandler,"Rach, if you have a crush on this guy, why would you hire him? I mean y’know you can’t date him right?",11
S07E05 The Engagement Picture.txt,Chandler,Dude that is so sad.,11
S07E05 The Engagement Picture.txt,Chandler,Could I play?,11
S07E05 The Engagement Picture.txt,Chandler,"No, I am.",18
S07E05 The Engagement Picture.txt,Chandler,Oh my God! Those are my bedroom eyes?! Why did you ever sleep with me?,34
S07E05 The Engagement Picture.txt,Chandler,I can’t help it!,55
S07E05 The Engagement Picture.txt,Chandler,Borrow money from me?,55
S07E05 The Engagement Picture.txt,Chandler,Why is there jelly on your shoe?,56
S07E05 The Engagement Picture.txt,Chandler,Hey!,58
S07E05 The Engagement Picture.txt,Chandler,I’m still right here!,59
S07E05 The Engagement Picture.txt,Chandler,"Did you have a crush on me, when you first met me?",60
S07E05 The Engagement Picture.txt,Chandler,There I am!,68
S07E05 The Engagement Picture.txt,Chandler,"Yeah, Joey said I uh, I needed to relax so he gave me an antihistamine.",68
S07E05 The Engagement Picture.txt,Chandler,"Yeah, and then I fell asleep on the subway and went all the way to Brooklyn. Brooklyn is f-far!!",68
S07E05 The Engagement Picture.txt,Chandler,Ahhh.,87
S07E05 The Engagement Picture.txt,Chandler,"Oh yeah, that looks good.",88
S07E05 The Engagement Picture.txt,Chandler,Okay.,89
S07E05 The Engagement Picture.txt,Chandler,I’m marrying her.,89
S01E18 All The Poker.txt,Chandler,"Well, if you're gonna work for mechanics, those are the ones to work for.",2
S01E18 All The Poker.txt,Chandler,"You know, I can't believe you. Linda is so great! Why won't you go out with her again?",12
S01E18 All The Poker.txt,Chandler,Is this still about her whole 'The Flintstones could've really happened' thing?,12
S01E18 All The Poker.txt,Chandler,...little playthings with yarn?,13
S01E18 All The Poker.txt,Chandler,Could you want her more?,13
S01E18 All The Poker.txt,Chandler,We're not—we're not saying anything.,17
S01E18 All The Poker.txt,Chandler,And then he did.,18
S01E18 All The Poker.txt,Chandler,There just don't happen to be any women in our games.,18
S01E18 All The Poker.txt,Chandler,"OK Phoebs, how many do you want?",21
S01E18 All The Poker.txt,Chandler,"Rach, Rach, we gotta settle.",31
S01E18 All The Poker.txt,Chandler,"The... Jamestown colony of Virginia. You see, King George is giving us the land, so...",31
S01E18 All The Poker.txt,Chandler,"Yes, and I get my ya-yas from Ikea. You have to put them together yourself, but they cost a little less.",33
S01E18 All The Poker.txt,Chandler,"Oh, did you get that from the 'I Love Rachel' pizzeria?",36
S01E18 All The Poker.txt,Chandler,"Um, ok... the... the fifth dentist caved and now they're all recommending Trident?",51
S01E18 All The Poker.txt,Chandler,"Oh yes, yes, we could play some other game... like, uh, I don't know... Pictionary?",51
S01E18 All The Poker.txt,Chandler,"That's alright, I'll take it. Bad things happen to me anyway. This way I can break 'em up with a movie.",55
S01E18 All The Poker.txt,Chandler,"Hey, that's... that's 'joincidence' with a 'C'!",67
S01E18 All The Poker.txt,Chandler,"Y'know, I've had dates like this.",81
S01E18 All The Poker.txt,Chandler,Call.,93
S01E18 All The Poker.txt,Chandler,Good luck.,116
S01E18 All The Poker.txt,Chandler,Airplane! Airport! Airport '75! Airport '77! Airport '79!,126
S01E18 All The Poker.txt,Chandler,Go.,131
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"No, no, no. No-no-no.",3
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"No, we're playing this game I learned at work. You have to name all the states in six minutes.",3
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Oh, okay, time's up!",6
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Oh that's not bad, Pheebs?",6
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Okay, so Rachel's got 48 and Phoebe has the lead in…vegetables, Joey?",6
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Look Ross, if you don't know them by now, you will never know them, okay? That is the beauty of this game. It makes you want to kill yourself.",15
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Okay, but if you can't…no dinner!",15
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Sure, and Joey; do not let Ross look at any of the maps or the globe in your apartment.",18
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,I don't know. Maybe it's because it smells a little weird. It's like old pumpkins or something.,21
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,Which smells delicious!,21
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,What?,21
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Tell her, I'm allergic, and I will sue!",24
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,Huh! Where is the dog?!,30
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Phoebe, we can hear the dog barking!",32
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,What is it doing here?,33
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Extremely allergic, okay? If I'm anywhere near a dog for more than 5 minutes, my throat will just close up!",34
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Well, it still has to go, right?",35
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Okay, it's um…",35
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"They are needy, they are jumpy, and you can't tell what they are thinking, and that scares me a little bit.",38
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Okay, it's just that dogs make me a little uncomfortable.",41
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,Why not?,69
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Well, I, I should go in there.",70
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,Why not?,70
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Monica's all upset, because I sent Clunkers away.",72
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Yeah, I can be a hero, I could do that. I could, I could do... I, w-w-what if, what if it attacks me?",72
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"No, no he went for a walk.",80
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,"Please, please, please, don't be mad at me.",83
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,Clunkers?! Oh my god!,86
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,It's up to you.,89
S07E08 Chandler Doesnt Like Dogs.txt,Chandler,All right.,96
S07E21 The Vows.txt,Chandler,Do you realize you get louder each week?,2
S07E21 The Vows.txt,Chandler,"Right. So uh, have you written yours yet?",3
S07E21 The Vows.txt,Chandler,Do you happen to know what I’m going to say?,3
S07E21 The Vows.txt,Chandler,"I’m so pathetic! Monica knows what she wants to say! You should’ve seen her. Writing, writing, writing!",8
S07E21 The Vows.txt,Chandler,"Yeah, I’m not sure I can do that.",14
S07E21 The Vows.txt,Chandler,"All right, there’s a nuclear holocaust, I’m the last man on Earth. Would you go out with me?",18
