filename,character,dialogue,scene
S10E06 Rosss Grant.txt,Charlie,Hey!,19
S10E06 Rosss Grant.txt,Charlie,"Ah, well, unless it's the creepy guy with his hand up his kilt, I'm gonna say congratulations!",19
S10E06 Rosss Grant.txt,Charlie,"Wow, that's great! So, tell me about the grant!",19
S10E06 Rosss Grant.txt,Charlie,Wait. Are you talking about the Dewar grant?,19
S10E06 Rosss Grant.txt,Charlie,Benjamin Hobart is administering that grant.,19
S10E06 Rosss Grant.txt,Charlie,Yeah.,19
S10E06 Rosss Grant.txt,Charlie,"No, no, we ended up in great terms. I mean, if anything, I think this could help you. You know what? Why don't we all go out to dinner together, and I can introduce you.",19
S10E06 Rosss Grant.txt,Charlie,"Yes, absolutely. I'll call him.",19
S10E06 Rosss Grant.txt,Charlie,Mmh... he does have a pretty serious latex fetish.,19
S10E06 Rosss Grant.txt,Charlie,"Ross, why don't you tell Benji about your proposal, while I go to the ladies room?",39
S10E06 Rosss Grant.txt,Charlie,Did you get the grant?,104
S10E06 Rosss Grant.txt,Charlie,What?,104
S10E06 Rosss Grant.txt,Charlie,"Benji isn't in love with me. I mean, he broke up with me. And besides, he's a very ethical man.",104
S10E06 Rosss Grant.txt,Charlie,"I'm sure he was just joking, Ross.",104
S10E06 Rosss Grant.txt,Charlie,Seriously?,104
S10E06 Rosss Grant.txt,Charlie,"Well, if it's like the lake Mbosco in Congo, then M-B-O...",104
S10E06 Rosss Grant.txt,Charlie,Benji?,105
S10E06 Rosss Grant.txt,Charlie,I can't believe this.,105
S10E06 Rosss Grant.txt,Charlie,Yes!,106
S10E06 Rosss Grant.txt,Charlie,"I don't know what to say, Benji. This is all so.... romantic.",106
S10E06 Rosss Grant.txt,Charlie,Maybe...,106
S10E02 Ross Is Fine.txt,Charlie,"Hi, hi. So.. Dreading this?",20
S10E02 Ross Is Fine.txt,Charlie,Actually.. It's stuff you left at my apartment.,21
S10E02 Ross Is Fine.txt,Charlie,"And you know, you can just give me my stuff whenever you want.",21
