filename,character,dialogue,scene
S04E06 The Dirty Girl.txt,Cheryl,"So, thank you for the delicious dinner.",2
S04E06 The Dirty Girl.txt,Cheryl,"Um, would you like to come in?",16
S04E06 The Dirty Girl.txt,Cheryl,According to recent findings!,16
S04E06 The Dirty Girl.txt,Cheryl,"My hamster. I hope she's okay, I haven't seen her in a while. Have a seat.",18
S04E06 The Dirty Girl.txt,Cheryl,What?,19
S04E06 The Dirty Girl.txt,Cheryl,I'd rather not.,19
S04E06 The Dirty Girl.txt,Cheryl,"Okay, um, don't take this the wrong way, but your place kinda has a weird smell.",19
S04E06 The Dirty Girl.txt,Cheryl,So you want to come inside?,51
S04E06 The Dirty Girl.txt,Cheryl,It's me!,54
S04E06 The Dirty Girl.txt,Cheryl,What?,55
S04E06 The Dirty Girl.txt,Cheryl,"Oh, Ross!",56
S04E06 The Dirty Girl.txt,Cheryl,Wait! No! No! It's my hamster! It's Mitzi!,57
S04E06 The Dirty Girl.txt,Cheryl,"Oh, yeah. Oh, you know, that's too bad that didn't work out.",77
