filename,character,dialogue,scene
S04E02 The Cat.txt,Chip,"Hey, Rach! How ya doin’?",53
S04E02 The Cat.txt,Chip,"So ah, Monica ready yet?",53
S04E02 The Cat.txt,Chip,"Amy Welch? Wow! I haven’t seen her since... So, Monica about ready?",53
S04E02 The Cat.txt,Chip,"Here, we are.",59
S04E02 The Cat.txt,Chip,The what?,59
S04E02 The Cat.txt,Chip,So you still in touch with anyone from high school?,60
S04E02 The Cat.txt,Chip,"Oh yeah, I still hang with Simmons and Zana, y'know. I see Spindler a lot. Devane, Kelly, and I run into Goldie from time to time. Steve Brown, Zuchoff, McGwire, J.T., Breadsly.",60
S04E02 The Cat.txt,Chip,"Ehh, y'know after high school, you just kinda lose touch. Oh yeah! I ran into Richard Dorfman.",60
S04E02 The Cat.txt,Chip,"Not so good, Simmons and I gave him a wedgie.",60
S04E02 The Cat.txt,Chip,"Yeah, they still wear underwear.",60
S04E02 The Cat.txt,Chip,You know where I work!,66
S04E02 The Cat.txt,Chip,"The movie theatre, you used to come in all the time.",66
S04E02 The Cat.txt,Chip,"Oh, like I’d give up that job! Free popcorn and candy, anytime I want. I can get you free posters for your room.",66
S04E02 The Cat.txt,Chip,"Oh yeah, but I can stay out as late as I want.",66
