filename,character,dialogue,scene
S08E23 Rachel Has A Baby.txt,Cliff,"November 16th, 1968.",89
S08E23 Rachel Has A Baby.txt,Cliff,Can’t you figure that out based on my date of birth?,89
S08E23 Rachel Has A Baby.txt,Cliff,I’m 33.,89
S08E23 Rachel Has A Baby.txt,Cliff,No.,89
S08E23 Rachel Has A Baby.txt,Cliff,Are all the questions this personal?,89
S08E23 Rachel Has A Baby.txt,Cliff,Well uh if you must know I’m a widower.,90
S08E23 Rachel Has A Baby.txt,Cliff,Yeah.,90
S08E23 Rachel Has A Baby.txt,Cliff,No.,90
S08E23 Rachel Has A Baby.txt,Cliff,No!,90
S08E23 Rachel Has A Baby.txt,Cliff,"I’d have to say…the talking gorilla, because at least I can explain to him that you’re making me eat him.",115
S08E23 Rachel Has A Baby.txt,Cliff,"No, I’m sorry. It’s just my foot itches like crazy.",116
S08E23 Rachel Has A Baby.txt,Cliff,Wow! I usually get to know a girl a little better before I let her spoon me.,117
S08E23 Rachel Has A Baby.txt,Cliff,Oh my God! That’s the doctor who was in my room before!,123
S08E23 Rachel Has A Baby.txt,Cliff,"I’m telling you! The guy from that show was here in my room, asking me all these weird questions!",123
S08E23 Rachel Has A Baby.txt,Cliff,That-that’s him! You know him?,124
S08E23 Rachel Has A Baby.txt,Cliff,I don’t believe this. You got him to pretend he was some fake doctor?,124
S08E23 Rachel Has A Baby.txt,Cliff,And then you tried to make me think that I was crazy.,125
S08E23 Rachel Has A Baby.txt,Cliff,I don’t think so.,125
S08E23 Rachel Has A Baby.txt,Cliff,It doesn’t happen to me either.,125
