filename,character,dialogue,scene
S05E16 The Cop.txt,Cop,"Oh, I know a guy in homicide up there.",67
S05E16 The Cop.txt,Cop,Who-who else is in vice up there?,67
S05E16 The Cop.txt,Cop,"Sipowicz? No, I don't think so.",67
S05E16 The Cop.txt,Cop,"No, I don't know him.",67
S05E16 The Cop.txt,Cop,"Wow umm, tell Sipowicz I'm real sorry for his loss.",68
S05E16 The Cop.txt,Cop,I'm looking for Phoebe Buffay!,105
S05E16 The Cop.txt,Cop,"Yeah, but I kinda don't have a choice, it's my job. I mean, you understand right?",106
S05E16 The Cop.txt,Cop,"I don't like looking foolish. Y'know what? Maybe uh, I don't arrest you today. Maybe I came by and you weren't here.",106
S05E16 The Cop.txt,Cop,"Okay, so since umm, you're not going to jail tonight I was wondering if you would like to go to dinner with me?",106
S05E16 The Cop.txt,Cop,"Yeah. Ever since you flashed my badge at me, I kinda can't stop thinking about you. You're the prettiest, fake undercover whore I've ever seen.",106
S05E16 The Cop.txt,Cop,"Yeah. I mean, I coulda done it better, but these people keep staring at me.",106
S05E16 The Cop.txt,Cop,Gary.,106
