filename,character,dialogue,scene
S07E24 Friends Special The Stuff Youve Never Seen.txt,Courtney,It is one of those days!,12
S07E24 Friends Special The Stuff Youve Never Seen.txt,Courtney,"It’s amazing like all week long we’ve-we’ve been saying the same lines and then the audience is here and we will mess up, and if you mess up once, then you’ll get nervous because you’ll—you know you’ll probably mess up again.",15
S07E24 Friends Special The Stuff Youve Never Seen.txt,Courtney,This’ll be five/ten takes.,17
S07E24 Friends Special The Stuff Youve Never Seen.txt,Courtney,Okay. You know it’s gonna happen.,17
S07E24 Friends Special The Stuff Youve Never Seen.txt,Courtney,Oh! Okay! I’m gonna try it without the coffee cup ‘cause I think it’s the left hand that’s messing me up.,18
S07E24 Friends Special The Stuff Youve Never Seen.txt,Courtney,"This particular time when he continued to fall or y’know, try not to fall, I was in the room with Matthew and Matthew was like, ""Should I do it?""",48
S07E24 Friends Special The Stuff Youve Never Seen.txt,Courtney,He said true or false!,52
S07E24 Friends Special The Stuff Youve Never Seen.txt,Courtney,I’m doing my brother.,85
S07E24 Friends Special The Stuff Youve Never Seen.txt,Courtney,Yeah!,107
S07E24 Friends Special The Stuff Youve Never Seen.txt,Courtney,I’m melting!,113
S07E24 Friends Special The Stuff Youve Never Seen.txt,Courtney,"They made me dance, in the fat suit.",114
S07E24 Friends Special The Stuff Youve Never Seen.txt,Courtney,"I’m sorry, I messed up.",147
