filename,character,dialogue,scene
S06E18 Ross Dates A Student.txt,Dana,Y’know who I ran into from school? Howie.,40
S06E18 Ross Dates A Student.txt,Dana,"Apparently Howie’s editing now. Yeah, he-he-he calls me up and asks me if he can edit my new movie. Can you believe that?! Y’know I-I-I haven’t spoken to him in like ten years and he asks me for a favor!",41
S06E18 Ross Dates A Student.txt,Dana,"No, no ""How you doing?"" Man, I mean not even a cup of coffee first!",41
S06E18 Ross Dates A Student.txt,Dana,Yeah!,41
S06E18 Ross Dates A Student.txt,Dana,"Y’know uh, actually I-I-I should get going.",68
S06E18 Ross Dates A Student.txt,Dana,"Wow. Oh, I am really flattered, but I just I don’t feel that way about you.",68
S06E18 Ross Dates A Student.txt,Dana,"I’m sorry Chandler, y’know you are such a sweet guy and I, I don’t want to hurt you. Oh, I wish there was something I can do to make you feel better.",68
S06E18 Ross Dates A Student.txt,Dana,Of course!,68
S06E18 Ross Dates A Student.txt,Dana,"Ohh, I’m sorry.",69
S06E18 Ross Dates A Student.txt,Dana,What?! Anything! Anything!,69
S06E18 Ross Dates A Student.txt,Dana,Absolutely! But you-you would really feel better about me rejecting you if your actor friend can audition for my movie?,69
