filename,character,dialogue,scene
S05E07 Ross Moves In.txt,Danny,"Uh, actually, actually, I'm having a party at my place on Saturday, it's sort of a house warming kind of thing.",23
S05E07 Ross Moves In.txt,Danny,"Yeah, I'm really looking forward to it.",23
S05E07 Ross Moves In.txt,Danny,"Hey guys, I just uh, wanted to invite you to the party tomorrow night.",44
S05E07 Ross Moves In.txt,Danny,"Yeah, what's the gala for?",44
S05E07 Ross Moves In.txt,Danny,Really! You-you sail?,44
S05E07 Ross Moves In.txt,Danny,"Hey, hi, I need a ladle. You got a ladle?",65
S05E07 Ross Moves In.txt,Danny,"Thanks, see you at the party.",66
S05E07 Ross Moves In.txt,Danny,Hey! What's going on?,98
S05E07 Ross Moves In.txt,Danny,Salad.,99
S05E07 Ross Moves In.txt,Danny,Bread. Aren't you a chef?,100
S05E07 Ross Moves In.txt,Danny,Hey! Rachel!,102
S05E07 Ross Moves In.txt,Danny,"Oh wow, you look great! Glad you could make it.",102
S05E10 The Inappropriate Sister.txt,Danny,Hey guys.,16
S05E10 The Inappropriate Sister.txt,Danny,"Well, of course.",16
S05E10 The Inappropriate Sister.txt,Danny,I had a really nice time tonight.,57
S05E10 The Inappropriate Sister.txt,Danny,"I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch.",58
S05E10 The Inappropriate Sister.txt,Danny,"Oh hey, great, you're up. Rachel, this is my sister Krista. Krista, this is Rachel.",60
S05E10 The Inappropriate Sister.txt,Danny,Like it would help.,60
S05E10 The Inappropriate Sister.txt,Danny,You are so dead! I'm gonna get you.,67
S05E10 The Inappropriate Sister.txt,Danny,"Oh, damn! I got it on my pants.",86
S05E10 The Inappropriate Sister.txt,Danny,"Oh, hey Rach! I thought we said seven?",95
S05E10 The Inappropriate Sister.txt,Danny,What?! Why?!,95
S05E10 The Inappropriate Sister.txt,Danny,Oh great! That special bond again! Why do women have such a problem with the fact that I'm close with my sister?,95
S05E10 The Inappropriate Sister.txt,Danny,"Do-do you, do you have brothers?",95
S05E10 The Inappropriate Sister.txt,Danny,Are you close with them?,95
S05E10 The Inappropriate Sister.txt,Danny,"Okay, listen, I really like you. Okay? I think this can go somewhere. So what if I'm close to my family, are you gonna let that stand in the way of us?",95
S05E06 The Yeti.txt,Danny,Yeah?,34
S05E06 The Yeti.txt,Danny,Okay.,34
S05E06 The Yeti.txt,Danny,Okay.,35
S05E06 The Yeti.txt,Danny,Yesss?,36
S05E06 The Yeti.txt,Danny,O-kay!,36
S05E06 The Yeti.txt,Danny,So you like the short hair better.,54
S05E06 The Yeti.txt,Danny,"I had to cut my hair to get rid of the uh, fogger smell.",54
S05E06 The Yeti.txt,Danny,Absolutely. Some people are just into appearances.,54
S05E06 The Yeti.txt,Danny,"Come on, you got the shopping bags and the Sack's catalog.",56
S05E06 The Yeti.txt,Danny,Do you?,56
S05E06 The Yeti.txt,Danny,Okay!,57
S05E06 The Yeti.txt,Danny,The pizza-place across the street any good?,58
S05E06 The Yeti.txt,Danny,I'm hungry. Wanna get some pizza? You can keep yelling if there's more.,58
S05E06 The Yeti.txt,Danny,Stop saying that. I hate that.,58
