filename,character,dialogue,scene
S08E16 Joey Tells Rachel.txt,Don,"Well, we just had a terrible lunch today at Reattica. What is with all the sun-dried tomatoes at that place?",25
S08E16 Joey Tells Rachel.txt,Don,"That’s exactly what I said. Phoebe, isn’t that strange.",25
S08E16 Joey Tells Rachel.txt,Don,"Well, Octavio, 27&7—Oh! And there’s this great little place, Alessandro’s.",26
S08E16 Joey Tells Rachel.txt,Don,You’re kidding me!,26
S08E16 Joey Tells Rachel.txt,Don,"Your food is fantastic! Wow, I really want to talk to you about your menu, once I get some coffees first. Um, anyone want any?",26
S08E16 Joey Tells Rachel.txt,Don,…so I’ve been slowly phasing out the wine importing and focusing more on the cheese side of things.,39
S08E16 Joey Tells Rachel.txt,Don,Excuse me?,39
S08E16 Joey Tells Rachel.txt,Don,"Uh, not really. But when it comes to cheese, I’m one of the people who thinks the smellier the better.",39
S08E16 Joey Tells Rachel.txt,Don,"Well if you where ever enter the Loire valley let me know, I’ve got a great little villa you can stay at.",41
S08E16 Joey Tells Rachel.txt,Don,"No. But God, a house made of cheese, wouldn’t that be incredible?!",41
