filename,character,dialogue,scene
S05E12 Chandlers Work Laugh.txt,Doug,Hi! And this is my wife Kara.,18
S05E12 Chandlers Work Laugh.txt,Doug,"Say uh, Bing, did you hear about the new law firm we got working for us?",19
S05E12 Chandlers Work Laugh.txt,Doug,"Yeah, Dewey, Cheatum, and Howe.",19
S05E12 Chandlers Work Laugh.txt,Doug,…says $30 Father; same as in town.,22
S05E12 Chandlers Work Laugh.txt,Doug,Bing!,40
S05E12 Chandlers Work Laugh.txt,Doug,"We're, we're just gonna get a little sip of water.",43
S05E12 Chandlers Work Laugh.txt,Doug,"Uh Bing, I think we're gonna make this the last game.",44
S05E12 Chandlers Work Laugh.txt,Doug,Nice shot.,47
S05E12 Chandlers Work Laugh.txt,Doug,The joke Bing. What's the matter with you?,82
S05E12 Chandlers Work Laugh.txt,Doug,Excuse me?,82
S08E11 Rosss Step Forward.txt,Doug,Bing! Ho! And the Bing-ette!,14
S08E11 Rosss Step Forward.txt,Doug,"Hi. So good news, the divorce is final. I signed the papers this A.M.",14
S08E11 Rosss Step Forward.txt,Doug,"Sorry? Finally chewed my leg out of that bear trap. Hey, congratulations to you guys though!",14
S08E11 Rosss Step Forward.txt,Doug,"Oh well, give it time. So the divorce, the marriage, we’ve got a lot to celebrate. How about we all go out to dinner tomorrow night?",14
S08E11 Rosss Step Forward.txt,Doug,"Tomorrow night it is then, I should be out of court by six. They keep throwing these sexual harassment cases at me and I keep knocking them out of the park!",15
S08E11 Rosss Step Forward.txt,Doug,"Bing! We’re all set for tonight, 8 o’clock.",24
S08E11 Rosss Step Forward.txt,Doug,"Oh, my ex-wife didn’t work, unless you call turning into her mother work. Fine. Tomorrow night then.",24
S08E11 Rosss Step Forward.txt,Doug,Oh? Why not?,24
S08E11 Rosss Step Forward.txt,Doug,"What’s going on Bing? Does uh, your wife have a problem with me or something?",24
S08E11 Rosss Step Forward.txt,Doug,So why can’t the three of us go out together?,24
S08E11 Rosss Step Forward.txt,Doug,"Good God Bing I…well I can’t say I’m altogether surprised, I saw the way she looked at you, and there was no love there. And the way she looked at me, pure lust.",24
S08E11 Rosss Step Forward.txt,Doug,"Bing my boy, we’re gonna get you over this. Now here’s the plan, grab your coat, we’re going to a strip club.",24
S08E11 Rosss Step Forward.txt,Doug,"Oh Bing, look at those twin sisters dancing together. Let me buy you a lap dance with those girls. Huh?",37
S08E11 Rosss Step Forward.txt,Doug,"No, it’s a wedding ring. You gotta get rid of it. We’re gonna go to the East River right now and throw it in there!",38
S08E11 Rosss Step Forward.txt,Doug,"Oh yeah-yeah-yeah, y’know I did it and I felt a hell of a lot better and if you whip it just right you might hit a seagull in the head.",38
S03E24 The Ultimate Fighting Champion.txt,Doug,"So thanks for the warm welcome. It’s good to have you guys on my team, and I come to play. I hope you do too. Now, let’s go out there and get ‘em! Huh? And remember, there is no ‘I’ in team.",27
S03E24 The Ultimate Fighting Champion.txt,Doug,"Oh, you forgot?",83
S03E24 The Ultimate Fighting Champion.txt,Doug,Hmm.,84
S03E24 The Ultimate Fighting Champion.txt,Doug,"Oh, is it the swearing? I mean is it the constant swearing? Because I gotta tell ya, if it is, you can just... kiss my ass!",84
S03E24 The Ultimate Fighting Champion.txt,Doug,Oh?,84
S03E24 The Ultimate Fighting Champion.txt,Doug,"Well, say no more. Y'know it takes guts to bring this up. Bing! You’re okay.",84
S03E24 The Ultimate Fighting Champion.txt,Doug,"Everybody else got one, and you want one too. Don’t you?",106
