filename,character,dialogue,scene
S02E04 Phoebes Husband.txt,Duncan,Phoebe!,19
S02E04 Phoebes Husband.txt,Duncan,Hey.,19
S02E04 Phoebes Husband.txt,Duncan,"Ahh, look at you, you look great.",19
S02E04 Phoebes Husband.txt,Duncan,Thanks.,19
S02E04 Phoebes Husband.txt,Duncan,You always said I'd make it.,19
S02E04 Phoebes Husband.txt,Duncan,"Um, now. Phoebs.",20
S02E04 Phoebes Husband.txt,Duncan,What?,20
S02E04 Phoebes Husband.txt,Duncan,"Oh, yeah, um, alright, I kinda need a divorce.",30
S02E04 Phoebes Husband.txt,Duncan,"Umm, actually, I'm getting married again.",30
S02E04 Phoebes Husband.txt,Duncan,"Oh God, I don't know how to tell you this. I'm straight.",30
S02E04 Phoebes Husband.txt,Duncan,"Yeah, I know, I.",30
S02E04 Phoebes Husband.txt,Duncan,"I know, that's what I kept telling myself but you just reach a point where you can't live a lie anymore.",30
S02E04 Phoebes Husband.txt,Duncan,"Well I guess on some level I always knew I was straight. I though I was supposed to be something else, you know, I'm an ice dancer, all my friends are gay, I was just tryin' to fit in.",30
S02E04 Phoebes Husband.txt,Duncan,Her name's Debra.,30
S02E04 Phoebes Husband.txt,Duncan,"Well, I've never told you this but, there were one or two times, back in college, when I'd get really drunk, go to a straight bar and wake up with a woman next to me. But I, I, I told myself it was the liquor and e-everyone experiments in college.",30
S02E04 Phoebes Husband.txt,Duncan,"But now I know I don't have a choice about this, I was born this way.",30
S02E04 Phoebes Husband.txt,Duncan,"I'm, I'm still me.",30
S02E04 Phoebes Husband.txt,Duncan,"No, but it'll be OK, they're pretty cool, my brother's straight so. . .",33
