filename,character,dialogue,scene
S07E13 Rosita Dies.txt,Earl,I don’t need any toner.,41
S07E13 Rosita Dies.txt,Earl,Not me.,41
S07E13 Rosita Dies.txt,Earl,You wanna know why. You wanna know why?,41
S07E13 Rosita Dies.txt,Earl,"Okay, I don’t need any toner because I’m going to kill myself.",41
S07E13 Rosita Dies.txt,Earl,"Okay, so…no toner today. Thanks anyway, bye-bye.",44
S07E13 Rosita Dies.txt,Earl,"It’s just that I uh, have been working for ten years now at this meaningless, dead-end job and nobody here even knows I exist!",45
S07E13 Rosita Dies.txt,Earl,I-I’m sorry?,45
S07E13 Rosita Dies.txt,Earl,"No! That’s just the ""Hey Guy"" guy. He says that to everybody! He’s the worst! I’d like to take him with me!",69
S07E13 Rosita Dies.txt,Earl,Oh no.,70
S07E13 Rosita Dies.txt,Earl,Phoebe? The lady who sells toner?,104
S07E13 Rosita Dies.txt,Earl,Why?!,105
S07E13 Rosita Dies.txt,Earl,I thought it was toner.,105
S07E13 Rosita Dies.txt,Earl,Really?!,105
S07E13 Rosita Dies.txt,Earl,How?,105
S07E13 Rosita Dies.txt,Earl,Couldn’t it just be a coincidence?,105
S07E13 Rosita Dies.txt,Earl,It doesn’t really seem like enough to be fate.,105
S07E13 Rosita Dies.txt,Earl,I’m actually the office manager.,105
S07E13 Rosita Dies.txt,Earl,"Well, was there anything else?!",105
S07E13 Rosita Dies.txt,Earl,Philadelphia.,106
S07E13 Rosita Dies.txt,Earl,Yeah-yeah.,108
S07E13 Rosita Dies.txt,Earl,Yeah.,110
