filename,character,dialogue,scene
S05E11 All The Resolutions.txt,Elizabeth,"No, go ahead.",47
S05E11 All The Resolutions.txt,Elizabeth,"Ross, umm, you've been in there for a long time. I'm starting to get kinda freaked out.",77
S05E11 All The Resolutions.txt,Elizabeth,"No, let's just leave the lights on.",77
S05E11 All The Resolutions.txt,Elizabeth,Oh my God!,78
S06E24 The Proposal Part I  II.txt,Elizabeth,The guys across the hall are throwing water balloons at us.,37
S06E24 The Proposal Part I  II.txt,Elizabeth,"No, it’s a water balloon fight! We started it!",37
S06E24 The Proposal Part I  II.txt,Elizabeth,"Yeah, sure.",42
S06E24 The Proposal Part I  II.txt,Elizabeth,You suck!!,117
S06E21 Ross Meets Elizabeths Dad.txt,Elizabeth,"This is my father, Paul Stevens. Dad, this is Ross Geller.",27
S06E21 Ross Meets Elizabeths Dad.txt,Elizabeth,Daddy!,29
S06E21 Ross Meets Elizabeths Dad.txt,Elizabeth,"So uh, Monica is Ross’s sister.",38
S06E21 Ross Meets Elizabeths Dad.txt,Elizabeth,What a nice story!,77
S06E21 Ross Meets Elizabeths Dad.txt,Elizabeth,"Y’know what daddy? If you don’t like Ross, that’s fine. It doesn’t matter to me, I’m gonna go out with him anyway.",101
S06E21 Ross Meets Elizabeths Dad.txt,Elizabeth,I like Ross.,104
S06E22 Pauls The Man.txt,Elizabeth,"Yeah, I’ve been coming here since I was a kid. This used to be my Grandma’s.",29
S06E22 Pauls The Man.txt,Elizabeth,Sure!,29
S06E22 Pauls The Man.txt,Elizabeth,Are you okay? What’s wrong?,30
S06E22 Pauls The Man.txt,Elizabeth,"Well, whatever works for ya…",30
S06E22 Pauls The Man.txt,Elizabeth,"Oh. Well, so we have to hide our relationship from one more person. Big deal. Besides, it’s kinda fun hiding.",30
S06E22 Pauls The Man.txt,Elizabeth,I’ll just run to the store and get some.,33
S06E22 Pauls The Man.txt,Elizabeth,Do you know where the store is?,33
S06E22 Pauls The Man.txt,Elizabeth,Do you want to ride around town on my little pink bicycle?,33
S06E22 Pauls The Man.txt,Elizabeth,Why don’t you get in the hot tub and I’ll meet you there.,34
S06E22 Pauls The Man.txt,Elizabeth,"Uh, you guys?",56
S06E22 Pauls The Man.txt,Elizabeth,Umm…,56
S06E22 Pauls The Man.txt,Elizabeth,Obviously.,56
S06E22 Pauls The Man.txt,Elizabeth,Yeah! Yep.,57
S06E22 Pauls The Man.txt,Elizabeth,"Ohh, I wouldn’t do it in there. That’s my dad’s bedroom.",58
S06E22 Pauls The Man.txt,Elizabeth,"Oh no-no believe me, I’m leaving as soon as possible!",70
S06E22 Pauls The Man.txt,Elizabeth,"Ahh, I just have one problem left that I do not know how to solve. Uhh, Rachel maybe you want to come upstairs and help me figure it out?",70
S06E22 Pauls The Man.txt,Elizabeth,Ross? Ross?,86
S06E22 Pauls The Man.txt,Elizabeth,Okay!,87
S06E22 Pauls The Man.txt,Elizabeth,Daddy!,90
S06E18 Ross Dates A Student.txt,Elizabeth,Professor Geller?,13
