filename,character,dialogue,scene
S04E23 Rosss Wedding.txt,Emily,"…and that was all before 10 o’clock. The caterer rang and said it was going to be Chicken Kiev instead of Chicken Tarragon. And then the florist phoned to say there aren’t any tulips. Oh, and the chilliest has carpel-tunel syndrome. We’re not gonna be…",32
S04E23 Rosss Wedding.txt,Emily,"Well, up yours too!",33
S04E23 Rosss Wedding.txt,Emily,Sorry.,33
S04E23 Rosss Wedding.txt,Emily,How’s it gonna be all right?!,38
S04E23 Rosss Wedding.txt,Emily,Hello?,51
S04E23 Rosss Wedding.txt,Emily,We don’t have to.,51
S04E23 Rosss Wedding.txt,Emily,"No. But, Monica and I were talking, and-and I was so upset about the hall being knocked down, and she suggested that we put the wedding off for a bit.",51
S04E23 Rosss Wedding.txt,Emily,"She said, ""If I’m not gonna be happy getting married somewhere that we find in a day, well then we should just postpone it.""",51
S04E23 Rosss Wedding.txt,Emily,"I realize that people are going to be disappointed. But, I’m sure they’ll come back when we can do it right.",52
S04E23 Rosss Wedding.txt,Emily,So what are you saying? It’s now or never?,54
S04E23 Rosss Wedding.txt,Emily,Or?,55
S04E23 Rosss Wedding.txt,Emily,"Monica, why have you brought me here of all places?!",84
S04E23 Rosss Wedding.txt,Emily,"I tell you, this wedding is not going to happen.",84
S04E23 Rosss Wedding.txt,Emily,Oh God.,85
S04E23 Rosss Wedding.txt,Emily,It’s perfect.,86
S04E23 Rosss Wedding.txt,Emily,"Ohh, here comes my dad and stepmum. Mister and Misses Geller, this is Steven and Andrea Waltham.",97
S04E23 Rosss Wedding.txt,Emily,What-what’s going on?!,187
S04E23 Rosss Wedding.txt,Emily,What was all that about?,190
S04E23 Rosss Wedding.txt,Emily,"I, Emily...",206
S04E23 Rosss Wedding.txt,Emily,Take thee Ross...,206
S04E23 Rosss Wedding.txt,Emily,"As my lawfully wedded husband, in sickness and in health, until death parts us.",206
S04E14 Joeys Dirty Day.txt,Emily,Yes.,37
S04E14 Joeys Dirty Day.txt,Emily,Thank goodness.,37
S04E14 Joeys Dirty Day.txt,Emily,"Really?! Well, that’s just lovely, isn’t it? I must’ve missed your call, even though I didn’t leave the flat all day.",37
S04E14 Joeys Dirty Day.txt,Emily,"Oh, no-no-no, that’s not rude! It’s perfectly in keeping with a trip that I’ve already been run down by one of your wiener carts, and been strip-searched at John F. Kennedy Airport, apparently to you people, I look like someone who’s got a balloon full of cocaine stuffed up their bum.",37
S04E17 The Free Porn.txt,Emily,Me too.,34
S04E17 The Free Porn.txt,Emily,Ross.,51
S04E17 The Free Porn.txt,Emily,It was dreadful. I felt terrible about how I acted when you said those wonderful things.,51
S04E17 The Free Porn.txt,Emily,"Ross umm, there’s something that I’ve got to tell you, there’s-there’s someone else.",51
S04E17 The Free Porn.txt,Emily,"I’ve uh, I’ve come to talk to Ross.",61
S04E17 The Free Porn.txt,Emily,What?,62
S04E17 The Free Porn.txt,Emily,"I was going to call him, but…",63
S04E17 The Free Porn.txt,Emily,I’d really rather talk to him.,64
S04E17 The Free Porn.txt,Emily,"I uh, I’ve been to his apartment and he wasn’t there, and uh. I need to talk to him, so do you have any idea where he is?",64
S04E17 The Free Porn.txt,Emily,"Ross, I love you!",68
S04E16 The Fake Party.txt,Emily,"My uncle dragged us there. But, it actually it turned out to be really interesting.",13
S04E16 The Fake Party.txt,Emily,No one’s ever thrown me a surprise party before!,34
S04E16 The Fake Party.txt,Emily,You’re so sweet! And I’m so surprised!,34
S04E16 The Fake Party.txt,Emily,"Oh, but the party’s only just getting started!",41
S04E16 The Fake Party.txt,Emily,So why did you plan a party at the same time?,41
