filename,character,dialogue,scene
S02E12-S02E13 The Superbowl.txt,Erica,It's Erica.,16
S02E12-S02E13 The Superbowl.txt,Erica,"Never mind, it's open.",16
S02E12-S02E13 The Superbowl.txt,Erica,It's me.,19
S02E12-S02E13 The Superbowl.txt,Erica,Hi.,21
S02E12-S02E13 The Superbowl.txt,Erica,"Oh, Drake, isn't it amazing?",27
S02E12-S02E13 The Superbowl.txt,Erica,"Well, here we sit, devil may care, just a little while ago you were reattaching someone's spinal cord.",27
S02E12-S02E13 The Superbowl.txt,Erica,Who's they?,27
S02E12-S02E13 The Superbowl.txt,Erica,"Oh Drake, you are so talented, let me see those hands. Oh these hands, these beautiful hands, oh I could just eat them. . . but I won't.",27
S02E12-S02E13 The Superbowl.txt,Erica,"No, seriously. These hands. These miracle, magical, life-giving hands. Oh, just to be near them, touch them, maybe even lick one?",28
S02E12-S02E13 The Superbowl.txt,Erica,"Well, yes, yes, the best doctor in all of Salem, Dr. Drake Remore.",30
S02E12-S02E13 The Superbowl.txt,Erica,"I don't understand, why didn't you help that man?",32
S02E12-S02E13 The Superbowl.txt,Erica,"No, no no no, you don't have to tell me anything. You don't have to explain yourself to me. Ooh, who am I to question the great Dr. Drake Remore?",32
S02E12-S02E13 The Superbowl.txt,Erica,I should just be happy to be near you.,32
S02E12-S02E13 The Superbowl.txt,Erica,Hey what?,33
S02E12-S02E13 The Superbowl.txt,Erica,It's Erica.,41
S02E12-S02E13 The Superbowl.txt,Erica,"How did you get here so fast, I just saw you in Salem?",41
S02E12-S02E13 The Superbowl.txt,Erica,"Ohh, and I see you're having a little party too. Is she here, huh, huh?",41
S02E12-S02E13 The Superbowl.txt,Erica,Sabrina. I know about you two. I saw you today kissing in the doctor's lounge.,41
S02E12-S02E13 The Superbowl.txt,Erica,Oh my God. Do the people at the hospital know about this?,42
S02E12-S02E13 The Superbowl.txt,Erica,"How, how can you be here and there.",43
S02E12-S02E13 The Superbowl.txt,Erica,"Drake, what're you getting at?",43
S02E12-S02E13 The Superbowl.txt,Erica,Is this true?,43
S02E12-S02E13 The Superbowl.txt,Erica,Is all this true?,46
S10E17-S10E18 The Last One Part I  II.txt,Erica,"Yeah, you know, maybe I ate too much. I keep getting these stomach-aches. They come and go like every few minutes.",3
S10E17-S10E18 The Last One Part I  II.txt,Erica,"No, I'm okay.",8
S10E17-S10E18 The Last One Part I  II.txt,Erica,I don't know. Maybe church-camp?,9
S10E17-S10E18 The Last One Part I  II.txt,Erica,What?,9
S10E17-S10E18 The Last One Part I  II.txt,Erica,Help me! This hurts!,21
S10E17-S10E18 The Last One Part I  II.txt,Erica,Uh-huh! I think it's time to kick you in the nuts and see which is worse!,21
S10E17-S10E18 The Last One Part I  II.txt,Erica,Is he okay?,25
S10E17-S10E18 The Last One Part I  II.txt,Erica,I'm really happy for you guys.,31
S10E17-S10E18 The Last One Part I  II.txt,Erica,I'm tired!,31
S10E17-S10E18 The Last One Part I  II.txt,Erica,"I don't think so. Although, they did mention something about two heartbeats. But I thought that was just mine and the baby's. They kept saying both heartbeats are really strong, and I thought well, that's good 'cause I'm having a baby.",35
S10E17-S10E18 The Last One Part I  II.txt,Erica,Twins actually run in my family.,35
S10E17-S10E18 The Last One Part I  II.txt,Erica,Ow!,41
S10E17-S10E18 The Last One Part I  II.txt,Erica,"Oh my God, that's just like my name!",55
S10E17-S10E18 The Last One Part I  II.txt,Erica,"Anyway, I'm gonna go and get some rest. I'm really glad I picked you guys. You're gonna make great parents. Even Chandler.",55
S10E17-S10E18 The Last One Part I  II.txt,Erica,Bye!,55
S10E17-S10E18 The Last One Part I  II.txt,Erica,Okay.,55
S10E16 Rachels Going Away Party.txt,Erica,I know.,11
S10E16 Rachels Going Away Party.txt,Erica,"No, I don't mind you touching my belly, but right now your hand is kind of blocking the part where the baby is gonna come out.",11
S10E16 Rachels Going Away Party.txt,Erica,Hi.,12
S10E16 Rachels Going Away Party.txt,Erica,That's because I'm pregnant!,13
S10E16 Rachels Going Away Party.txt,Erica,"Oh, ok. I'm just always afraid that people think I'm just fat with big breasts.",13
