filename,character,dialogue,scene
S06E04 Joey Loses His Insurance.txt,Estelle,Well! Well! Well! Joey Tribbiani! So you came back huh? They think they can do better but they all come crawling back to Estelle!,36
S06E04 Joey Loses His Insurance.txt,Estelle,Really?!,36
S06E04 Joey Loses His Insurance.txt,Estelle,"Oh well, no harm, no foul.",36
S06E04 Joey Loses His Insurance.txt,Estelle,"All right, first thing we gotta do, damage control.",36
S06E04 Joey Loses His Insurance.txt,Estelle,"Well, I think uhh, someone out there may have been bad mouthing you all over town.",36
S10E04 The Cake.txt,Estelle,"So, how did your audition go today?",51
S10E04 The Cake.txt,Estelle,The one I told you about last week?,52
S07E19 Ross And Monicas Cousin.txt,Estelle,Joey! It’s Estelle! I just talked to the casting people; they loved you!,4
S07E19 Ross And Monicas Cousin.txt,Estelle,"Yeah, they wanna see you again tomorrow.",5
S07E19 Ross And Monicas Cousin.txt,Estelle,There’s just one thing. Do you have a problem with full frontal nudity?,6
S08E22 Rachel Is Late.txt,Estelle,"Joey! It’s Estelle! Great news, I was able to get you and one guest tickets to your premiere.",13
S08E22 Rachel Is Late.txt,Estelle,"Well, I sold four of them on Ebay. You’ll be sitting next to HotGuy372.",13
S06E21 Ross Meets Elizabeths Dad.txt,Estelle,"The thing is it’s kinda on the Q.T. The actor who has the part doesn’t know he might be fired. It’s the lead in a series, Mac and C.H.E.E.S.E.",60
S06E21 Ross Meets Elizabeths Dad.txt,Estelle,Uh-oh!,60
S02E19 Eddie Wont Go.txt,Estelle,Don't worry about it already. Things happen.,7
S02E19 Eddie Wont Go.txt,Estelle,"Joey, look at me, look at me. Do I have lipstick on my teeth?",7
S02E19 Eddie Wont Go.txt,Estelle,"Look honey, people get fired left and right in this business. I already got you an audition for Another World.",7
S02E19 Eddie Wont Go.txt,Estelle,You're welcome.,7
S02E19 Eddie Wont Go.txt,Estelle,"Things change, roll with em.",7
S02E19 Eddie Wont Go.txt,Estelle,"Joey, I'm gonna tell you the same thing I told Al Minser and his pyramid of dogs. Take any job you can get and don't make on the floor.",7
S05E10 The Inappropriate Sister.txt,Estelle,"Well, Telia Shire suddenly became available.",20
S05E10 The Inappropriate Sister.txt,Estelle,What can I say? She nailed it.,20
S05E10 The Inappropriate Sister.txt,Estelle,"Well, you’re just going to say no again but...gay porn.",21
S03E22 The Screamer.txt,Estelle,"Joey, sweetheart, you were fabulous!",34
