filename,character,dialogue,scene
S02E10 Russ.txt,Fbob,Geller!,9
S02E10 Russ.txt,Fbob,"Hey. Whoa, hey, you've been working out, huh?",9
S02E10 Russ.txt,Fbob,"Hey, so what'd I miss, what'd I miss, c'mon?",9
S02E10 Russ.txt,Fbob,"Hey, do you need me to pick you up?",9
S02E10 Russ.txt,Fbob,"No, I'm picking you up.",9
S02E10 Russ.txt,Fbob,"Well, I would make them Belgian, but the waffles are hard to get into that flask.",22
S02E10 Russ.txt,Fbob,"Yeah, OK.",22
S02E10 Russ.txt,Fbob,"OK, look, this isn't the first time somebody's said something to me about this, but, I don't know... I always made excuses about it, like... uhhh... 'I'm just a social drinker,' or, 'C'mon, it's Flag Day.'",22
S02E10 Russ.txt,Fbob,I am gonna try and quit drinking.,24
S02E10 Russ.txt,Fbob,Thanks. You wanna hear something funny?,38
S02E10 Russ.txt,Fbob,There are no hardware stores open past midnight in the Village.,38
S02E10 Russ.txt,Fbob,"I needed to buy a hammer the other night, and I'm out walkin' around the neighborhood but apparently there are no hardware stores open past midnight in the Village.",38
S02E10 Russ.txt,Fbob,"If... if you want to drink, it's OK with me, I've got to get used to it.",55
S02E10 Russ.txt,Fbob,So the light went out in my refrigerator...,56
S02E10 Russ.txt,Fbob,"Uh, can I talk to you a minute?",69
S02E10 Russ.txt,Fbob,This is really hard for me to say.,70
S02E10 Russ.txt,Fbob,"Oh, no, no, it's about you.",70
S02E10 Russ.txt,Fbob,I think you may have a drinking problem.,70
S02E10 Russ.txt,Fbob,"Look, I am just not strong enough to be in a codependent relationship right now, OK?",71
S02E10 Russ.txt,Fbob,"Well, anyway, I hope we can be friends.",71
S02E10 Russ.txt,Fbob,You too.,72
