filename,character,dialogue,scene
S05E16 The Cop.txt,Gary,"Okay, so it's a date.",106
S05E16 The Cop.txt,Gary,Well you're fingerprints were all over my badge so I just ran it through the computer and this was listed as your last known address so I just checked it out.,106
S05E16 The Cop.txt,Gary,"Not as impressive as you. I gotta tell you, I looked at your record and you've done some pretty weird stuff.",106
S05E16 The Cop.txt,Gary,"Okay. And don't worry, I'm not just gonna take you out for donuts.",107
S05E21 The Ball.txt,Gary,"I know, really well. In fact, I'm gonna ask Phoebe to move in with me.",7
S05E21 The Ball.txt,Gary,"What do you, what do you think?",8
S05E21 The Ball.txt,Gary,"Tonight, but don't say anything. Okay?",8
S05E21 The Ball.txt,Gary,"Hey Chandler, what are you doing here?",32
S05E21 The Ball.txt,Gary,Yeah?,32
S05E21 The Ball.txt,Gary,Sure. Okay.,33
S05E21 The Ball.txt,Gary,"Yeah, I-I considered that. I just know it would make me happy.",33
S05E21 The Ball.txt,Gary,"No, I mean happy.",33
S05E21 The Ball.txt,Gary,"Chandler, what-what are you doing?",33
S05E21 The Ball.txt,Gary,I know! I can't wait!,33
S05E21 The Ball.txt,Gary,"Listen Chandler, the way I see it is that I was lucky enough to find someone that I really love. I just—I wanna be around her as much as I can.",33
S05E21 The Ball.txt,Gary,"So you know what I'm talking about, right?",33
S05E21 The Ball.txt,Gary,"No, it's too soon for you guys.",33
S05E21 The Ball.txt,Gary,Hey Chandler.,48
S05E21 The Ball.txt,Gary,You look very pretty today.,50
S05E21 The Ball.txt,Gary,Here's the thing.,51
S05E21 The Ball.txt,Gary,Y'know I really want to move this relationship forward.,51
S05E21 The Ball.txt,Gary,"Because if you're not moving forward, y'know you're just moving backwards.",51
S05E21 The Ball.txt,Gary,Phoebe?,52
S05E21 The Ball.txt,Gary,I want you to move in with me.,52
S05E21 The Ball.txt,Gary,We have great news!,69
S05E21 The Ball.txt,Gary,So am I!,69
S05E21 The Ball.txt,Gary,"Okay, I'll see you at the station later.",69
S05E21 The Ball.txt,Gary,All right.,69
S05E21 The Ball.txt,Gary,"Hey, honey! Okay, so did you find any apartments? Anything in Brooklyn Heights?",72
S05E21 The Ball.txt,Gary,Oh really?,72
S05E21 The Ball.txt,Gary,Nothing at all?,72
S05E21 The Ball.txt,Gary,"Phoebe, can I talk to you for a second?",73
S05E21 The Ball.txt,Gary,"So you uh, you checked the paper for listings in Brooklyn Heights, right? You-you checked the Post?",76
S05E21 The Ball.txt,Gary,In a minute. You-you checked today's Post?,77
S05E21 The Ball.txt,Gary,Phoebe…,81
