filename,character,dialogue,scene
S02E09 Phoebes Dad.txt,Grandmother,"Hi, Phoe.",21
S02E09 Phoebes Dad.txt,Grandmother,"Oh, just updating the phonebook.",21
S02E09 Phoebes Dad.txt,Grandmother,Is it really your fa--I can't... well of course it is.,23
S02E09 Phoebes Dad.txt,Grandmother,"Look, I. . .",23
S02E09 Phoebes Dad.txt,Grandmother,"Alright, that is not your father, that's just a picture of a guy in a frame.",23
S02E09 Phoebes Dad.txt,Grandmother,"It was your mother's idea. Ya know, she didn't want you to know your real father because it hurt her so much when he left, and, I didn't want to go along with it, but, well then she died and, and it was harder to argue with her. Not impossible, but harder.",23
S02E09 Phoebes Dad.txt,Grandmother,"Last I heard, he was a pharmacist somewhere upstate.",23
S02E09 Phoebes Dad.txt,Grandmother,Honey.,23
S02E09 Phoebes Dad.txt,Grandmother,Hey.,33
S02E09 Phoebes Dad.txt,Grandmother,"C'mon now Phoe, don't still be mad at me. How's it going?",33
S02E09 Phoebes Dad.txt,Grandmother,"Well, I think you're better off without him. Oh honey, I know he's your daddy but, but to me he's still the irresponsible creep who knocked up your mom and stole her Gremlin.",33
S02E09 Phoebes Dad.txt,Grandmother,"I know. OK, I wasn't completely honest with you when I told you that, uh, I didn't know exactly where he lived.",33
S02E09 Phoebes Dad.txt,Grandmother,"He lives at 74 Laurel Drive in Middletown. If you hit the Dairy Queen, you've gone too far. You can take my cab.",33
S02E09 Phoebes Dad.txt,Grandmother,"Now, remember, nobody else drives that cab.",33
