filename,character,dialogue,scene
S03E08 The Giant Poking Device.txt,Gunther,"Oh, like you don’t already have everything.",8
S03E08 The Giant Poking Device.txt,Gunther,Rachel has those in burgendy.,66
S03E21 The Chick And The Duck.txt,Gunther,Are you all right?,5
S04E20 The Wedding Dresses.txt,Gunther,You don’t need to fill these silences.,6
S04E20 The Wedding Dresses.txt,Gunther,YOU IDIOT!!!!!,45
S03E16 The Morning After.txt,Gunther,I’m sorry. Was I not supposed to?,46
S09E02 Emma Cries.txt,Gunther,Diapers huh?,32
S09E02 Emma Cries.txt,Gunther,So I guess Rachel had you baby?,32
S09E02 Emma Cries.txt,Gunther,Nope!  I still can’t believe she slept with you in the first place.,32
S04E22 The Worst Best Man Ever.txt,Gunther,I’ll be there.,24
S04E22 The Worst Best Man Ever.txt,Gunther,What’s my last name?,33
S05E07 Ross Moves In.txt,Gunther,But then I'd have to go all the way around the dry cleaner place.,88
S10E17-S10E18 The Last One Part I  II.txt,Gunther,Rachel?,50
S10E17-S10E18 The Last One Part I  II.txt,Gunther,"I... I know you're leaving tonight, but I just have to tell you. I love you.",50
S10E17-S10E18 The Last One Part I  II.txt,Gunther,"I... I don't know if that changes your plans at all, but I thought you should know.",51
S06E03 Rosss Denial.txt,Gunther,So I understand you’re looking for a place.,55
S06E03 Rosss Denial.txt,Gunther,"Oh, I was going to offer you my apartment.",55
S06E03 Rosss Denial.txt,Gunther,I don’t know.,55
S04E16 The Fake Party.txt,Gunther,Rachel is my girlfriend.,75
S05E12 Chandlers Work Laugh.txt,Gunther,Here's your scone.,8
S03E19 The Tiny T-Shirt.txt,Gunther,Here you go.,2
S03E19 The Tiny T-Shirt.txt,Gunther,I dropped a cup.,7
S04E06 The Dirty Girl.txt,Gunther,Move!,60
S03E07 The Race Car Bed.txt,Gunther,What does Rachel see in this guy? I love Rachel. I wish she was my wife.,2
S03E07 The Race Car Bed.txt,Gunther,"Yeah, we’ll see!",13
S02E19 Eddie Wont Go.txt,Gunther,Lemonade? You ok man?,11
S02E19 Eddie Wont Go.txt,Gunther,"Oh, that's too bad. How'd they do it?",11
S02E19 Eddie Wont Go.txt,Gunther,That sucks. I was buried in an avalanche.,11
S02E19 Eddie Wont Go.txt,Gunther,I used to be Bryce on All My Children.,11
S09E20 The Soap Opera Party.txt,Gunther,No.,22
S02E09 Phoebes Dad.txt,Gunther,Yeah.,10
S05E21 The Ball.txt,Gunther,Thanks Rachel. And-and don't forget you-you can come visit her anytime you want.,99
S04E09 Theyre Going To Party.txt,Gunther,So you guys want coffees?,49
S08E19 Joeys Interview.txt,Gunther,Can I get you anything?,14
S05E06 The Yeti.txt,Gunther,"Oh, Ross? Ross! You can't put up flyers in here.",15
S05E06 The Yeti.txt,Gunther,You can't.,15
S05E06 The Yeti.txt,Gunther,I'll take it all.,16
S10E14 Princess Consuela.txt,Gunther,Six? You want me to join you?,39
S07E10 The Huliday Armadillo.txt,Gunther,Here you go.,48
