filename,character,dialogue,scene
S06E08 Rosss Teeth.txt,Hillary,"And after that, what could I do except become a chef.",51
S06E08 Rosss Teeth.txt,Hillary,"And someday soon, I hope to open my own restaurant.",51
S06E08 Rosss Teeth.txt,Hillary,"You know, you’re a really great listener. Most guys I go out with, they just talk and talk.",51
S06E08 Rosss Teeth.txt,Hillary,"After a while it’s like, shut your mouth, you know?",51
S06E08 Rosss Teeth.txt,Hillary,I’ve probably been talking too much. Why don’t we talk about you a little bit?,52
S06E08 Rosss Teeth.txt,Hillary,Come on. I want to know.,52
S06E08 Rosss Teeth.txt,Hillary,I’ve had a really good time tonight.,58
S06E08 Rosss Teeth.txt,Hillary,"You know, I rarely connect with someone this much on the first date.",58
S06E08 Rosss Teeth.txt,Hillary,Are you going to eat that bread?,59
S06E08 Rosss Teeth.txt,Hillary,Would you like to move over to the couch?,61
S06E08 Rosss Teeth.txt,Hillary,Maybe I’ll just turn the lights down a little.,62
S06E08 Rosss Teeth.txt,Hillary,Are those your teeth??,65
S06E08 Rosss Teeth.txt,Hillary,Yes. They’re insanely white.,65
S06E08 Rosss Teeth.txt,Hillary,What’s a matter with you?,65
