filename,character,dialogue,scene
S03E16 The Morning After.txt,Issac,You dog!,42
S03E16 The Morning After.txt,Issac,"Oh right, that Rachel chick from the coffee place.",42
S03E16 The Morning After.txt,Issac,"Oh, hey, man I know, doesn’t matter how much we love ‘em, monogamy is too cruel a rule.",42
S03E16 The Morning After.txt,Issac,"Aw, no problem dude. Y'know we got to look out for each other. We’re the same, you and me.",42
S03E16 The Morning After.txt,Issac,"Yeah, we are.",42
S03E16 The Morning After.txt,Issac,"Yeah, we are.",42
S03E16 The Morning After.txt,Issac,"Okay, we’re not.",42
S03E16 The Morning After.txt,Issac,"But, we are.",42
S03E16 The Morning After.txt,Issac,I can promise not to tell her again.,42
S03E15 Ross And Rachel Take A Break.txt,Issac,"Chloe, switch with me, there’s some guys here that got a crush on you.",10
S03E15 Ross And Rachel Take A Break.txt,Issac,"Yo, Chloe, do you have a quarter for the condom machine?",64
