filename,character,dialogue,scene
S10E04 The Cake.txt,Jack,I can't believe Emma is already one!,13
S10E04 The Cake.txt,Jack,Thank you!,15
S10E04 The Cake.txt,Jack,Which one are you?,15
S10E04 The Cake.txt,Jack,"Right now that seems so far away, seventeen years.",25
S10E04 The Cake.txt,Jack,"That’s true! This message could becoming to you from beyond the grave, Emma!",25
S10E04 The Cake.txt,Jack,And my cholesterol’s off the charts!,25
S10E04 The Cake.txt,Jack,"I know what you're thinking Judy, the resemblance is uncanny!",30
S10E04 The Cake.txt,Jack,Last winter I went up on a church lawn and drove right through a manger scene. The papers thought it was a hate crime.,46
S06E15-S06E16 That Could Have Been Part I  II.txt,Jack,Phoebe?,183
S06E15-S06E16 That Could Have Been Part I  II.txt,Jack,What are you doing here?,183
S06E15-S06E16 That Could Have Been Part I  II.txt,Jack,"Well, you were fired.",183
S06E15-S06E16 That Could Have Been Part I  II.txt,Jack,I told that guy who answered your phone.,183
S06E15-S06E16 That Could Have Been Part I  II.txt,Jack,"Uh, Phoebe you-you don’t have an office.",183
S06E15-S06E16 That Could Have Been Part I  II.txt,Jack,You lost 13 million dollars.,185
S06E15-S06E16 That Could Have Been Part I  II.txt,Jack,Are you all right?,185
S06E15-S06E16 That Could Have Been Part I  II.txt,Jack,What?!,185
