filename,character,dialogue,scene
S02E05 Five Steaks And An Eggplant.txt,Jade,"Hello, I'm looking for Bob. This is Jane. I don't know if you're still at this number, but I was just thinking about us, and how great it was, and, well, I know it's been three years, but, I was kinda hoping we could hook up again. I barely had t he nerve to make this call, so you know what I did?",4
S02E05 Five Steaks And An Eggplant.txt,Jade,I got a little drunk...and naked.,4
S02E05 Five Steaks And An Eggplant.txt,Jade,"Oh, you know, the usual, teaching aerobics, partying way too much. Oh, and in case you were wondering, those are my legs on the new James Bond poster.",5
S02E05 Five Steaks And An Eggplant.txt,Jade,"So, are we gonna get together or what?",6
S02E05 Five Steaks And An Eggplant.txt,Jade,"Great, I'll see you then.",6
S02E05 Five Steaks And An Eggplant.txt,Jade,Hi.,11
S02E05 Five Steaks And An Eggplant.txt,Jade,Yes?,11
S02E05 Five Steaks And An Eggplant.txt,Jade,How did you--?,11
S02E05 Five Steaks And An Eggplant.txt,Jade,Thanks.,11
S02E05 Five Steaks And An Eggplant.txt,Jade,"Hey, Bob, it's Jade. Listen, I just wanted to tell you that I was really hurt when you didn't show up the other day, and just so you know, I ended up meeting a guy.",19
S02E05 Five Steaks And An Eggplant.txt,Jade,"Oh, hi.",19
S02E05 Five Steaks And An Eggplant.txt,Jade,"Yes, yes, I did. In fact, I had sex with him 2 hours ago.",19
S02E05 Five Steaks And An Eggplant.txt,Jade,Eh.,19
S02E05 Five Steaks And An Eggplant.txt,Jade,"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.",19
S02E05 Five Steaks And An Eggplant.txt,Jade,It was just so awkward and bumpy.,19
S02E05 Five Steaks And An Eggplant.txt,Jade,"Well there really wasn't much time to get used to it, you know what I mean?",20
S02E05 Five Steaks And An Eggplant.txt,Jade,"Hi, it's me. Listen, Bob. I'm probably way out of line here. I mean, It has been 3 years, and you're probably seeing someone else now, but if we could just have one night together, just for old time's sake, one hot, steamy, wild night...",27
