filename,character,dialogue,scene
S03E08 The Giant Poking Device.txt,Janice,Why are your eyes so white?,38
S03E08 The Giant Poking Device.txt,Janice,Oh my God!!,38
S03E08 The Giant Poking Device.txt,Janice,How did you know?,38
S03E08 The Giant Poking Device.txt,Janice,In the park?,38
S03E08 The Giant Poking Device.txt,Janice,Just those two!,38
S03E08 The Giant Poking Device.txt,Janice,The receipt.,41
S03E08 The Giant Poking Device.txt,Janice,I don’t know.,42
S03E08 The Giant Poking Device.txt,Janice,Okay.,61
S03E08 The Giant Poking Device.txt,Janice,Wow!,61
S03E08 The Giant Poking Device.txt,Janice,"Oh! You’re right. Oh God. But, before I can say ‘good-bye’, there’s something I really need you to know, Chandler. The way I feel about you, it’s like, I finally understand what Lionel Richie’s been singing about. Y'know, I mean what we have, it’s like movie love, you’re my soulmate, and I can’t believe we’re not going to be spending the rest of our lives together.",61
S03E08 The Giant Poking Device.txt,Janice,What?,61
S03E08 The Giant Poking Device.txt,Janice,"No, you were right, you were right. I mean, I-I-I’ve got to give my marriage another chance.",61
S03E08 The Giant Poking Device.txt,Janice,"Honey, honey, people are looking.",63
S03E06 The Flashback.txt,Janice,Janice has a question. Who of the six of you has sleep with the six of you?,2
S03E06 The Flashback.txt,Janice,"Come on over the years none of you ever y'know, got drunk and stupid.",2
S03E06 The Flashback.txt,Janice,I’m sorry I find it hard to believe that a group of people who spends as much time together as you guys do has never bumped uglies.,2
S03E06 The Flashback.txt,Janice,"Okay, okay, well then answer me this. Has any of you ever.... almost?",2
S05E12 Chandlers Work Laugh.txt,Janice,Uh-oh-okay. Uh-oh-okay. I know what you all are thinking. But Chandler is in Yemen! I'm a young woman! I have needs! I can't wait forever!,61
S05E12 Chandlers Work Laugh.txt,Janice,"So I'm asking you please, take a moment before you judge me.",61
S05E12 Chandlers Work Laugh.txt,Janice,"Actually, I should get going.",98
S05E12 Chandlers Work Laugh.txt,Janice,Yes! Yes! You did!,98
S05E12 Chandlers Work Laugh.txt,Janice,What is wrong now?!,98
S05E12 Chandlers Work Laugh.txt,Janice,"I know! I know! And then you lose your apartment! And then you lose your job! And then your ex-wife gets married so fast! And now the coffee—ahh!! Ross, we need to talk.",98
S05E12 Chandlers Work Laugh.txt,Janice,"No-no-no, no. I'm going to talk. I believe that the sun has set on our day in the sun.",98
S05E12 Chandlers Work Laugh.txt,Janice,Well yeah!!,100
S05E12 Chandlers Work Laugh.txt,Janice,Are you gonna be okay?,100
S05E12 Chandlers Work Laugh.txt,Janice,Okay.,100
S07E07 Rosss Library Book.txt,Janice,"So, who’s the lucky guy?",17
S07E07 Rosss Library Book.txt,Janice,Oh. Oh I just cannot believe Clark stood me up!,42
S07E07 Rosss Library Book.txt,Janice,"Oh, what are you, stupid? It’s been three hours.",42
S07E07 Rosss Library Book.txt,Janice,"I should just go on to happier things, okay? Umm, why don’t you tell about your lovely wedding?",42
S07E07 Rosss Library Book.txt,Janice,"Oh…wait…you two think of me as family?! Oh, I have to ask you something now and be honest; do you want me to sing Careless Whisper or Lady In Red?",42
S07E07 Rosss Library Book.txt,Janice,Chandler?,59
S07E07 Rosss Library Book.txt,Janice,"Please, it’s because otherwise I really don’t know what I might do.",62
S07E07 Rosss Library Book.txt,Janice,"Hey you guys, umm do either one of you want to get in there before I take my bath.",64
S07E07 Rosss Library Book.txt,Janice,Why not?,64
S07E07 Rosss Library Book.txt,Janice,Why?,67
S07E07 Rosss Library Book.txt,Janice,He does?,67
S03E07 The Race Car Bed.txt,Janice,"Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine.",6
S03E07 The Race Car Bed.txt,Janice,"Oh, I cannot believe he’s using our divorce to sell mattresses.",7
S03E07 The Race Car Bed.txt,Janice,Oh my God.,79
S06E20 Mac And C.H.E.E.S.E..txt,Janice,Oh.... my.... God.,63
S01E14 The Candy Hearts.txt,Janice,Oh.... my.... God.,11
S01E14 The Candy Hearts.txt,Janice,"By the way, Chandler. I cut you out of all my pictures. So if you want, I have a bag with just your heads.",20
S01E14 The Candy Hearts.txt,Janice,"Oh, are you sure? Really? Because you know, you could make little puppets out of them, and you could use them in your theater of cruelty.",20
S01E14 The Candy Hearts.txt,Janice,Just us.,26
S01E14 The Candy Hearts.txt,Janice,"Although, I have enjoyed the fact that, uh your shirt's been stickin' outta your zipper ever since you came back from the bathroom.",26
S01E14 The Candy Hearts.txt,Janice,"So, do we have the best friends or what?",27
S01E14 The Candy Hearts.txt,Janice,I will go for that drink.,27
S01E14 The Candy Hearts.txt,Janice,Each.,28
S01E14 The Candy Hearts.txt,Janice,Happy Valentine's Day!,30
S01E14 The Candy Hearts.txt,Janice,"Oh, I miss you already. Can you believe this happened?",31
S01E14 The Candy Hearts.txt,Janice,Kiss me!,31
S01E14 The Candy Hearts.txt,Janice,"Hi, Monica.",32
S01E14 The Candy Hearts.txt,Janice,This is so fun. This is like a reunion in the hall.,35
S01E14 The Candy Hearts.txt,Janice,"Hello, funny Valentine.",50
S01E14 The Candy Hearts.txt,Janice,"Hello, Joey, our little matchmaker. I could just kiss you all over, and I'm gonna!",50
S01E14 The Candy Hearts.txt,Janice,I brought you something.,59
S01E14 The Candy Hearts.txt,Janice,I had them made special.,60
S01E14 The Candy Hearts.txt,Janice,That's fine.,60
S01E14 The Candy Hearts.txt,Janice,Mmm-hmm. Because I know that this isn't the end.,61
S01E14 The Candy Hearts.txt,Janice,"No, it isn't, because you won't let that happen. Don't you know it yet? You love me, Chandler Bing.",61
S01E14 The Candy Hearts.txt,Janice,Well then ask yourself this. Why do you think we keep ending up together? New Year's? Who invited who? Valentine's? Who asked who into whose bed?,61
S01E14 The Candy Hearts.txt,Janice,"You seek me out. Something deep in your soul calls out to me like a foghorn. Janice, Janice. You want me. You need me. You can't live without me. And you know it. You just don't know you know it. See ya.",61
