filename,character,dialogue,scene
S06E09 Ross Got High.txt,Janine,Hey guys!,24
S06E09 Ross Got High.txt,Janine,Are you guys going to Chandler’s for Thanksgiving?,26
S06E09 Ross Got High.txt,Janine,"Well, me and my dancer friends are thinking of doing Thanksgiving uptown. I thought you guys might like to come.",26
S06E09 Ross Got High.txt,Janine,"No, but you should go to Chandler’s. Because none of us knows how to cook, we’ll probably just end up drinking all day.",26
S06E07 Phoebe Runs.txt,Janine,Hi.,7
S06E07 Phoebe Runs.txt,Janine,Hi,8
S06E07 Phoebe Runs.txt,Janine,Lecroix. Janine Lecroix,8
S06E07 Phoebe Runs.txt,Janine,"Australia, I just moved here a couple of weeks ago.",8
S06E07 Phoebe Runs.txt,Janine,I'm a dancer.,9
S06E07 Phoebe Runs.txt,Janine,"Well, I think I'll go and unpack.",9
S06E07 Phoebe Runs.txt,Janine,"Sorry, there's just more room out here.",26
S06E07 Phoebe Runs.txt,Janine,What's wrong?,29
S06E07 Phoebe Runs.txt,Janine,"Oh, sorry about that stuff hanging in there. It's just my thongs are too delicate for the dryer.",30
S06E07 Phoebe Runs.txt,Janine,"Hey Joey, I got some beer for you.",60
S06E07 Phoebe Runs.txt,Janine,"Sure, listen I was gonna order some pizza, you wanna share one?",60
S06E07 Phoebe Runs.txt,Janine,Is there something wrong?,60
S06E07 Phoebe Runs.txt,Janine,Joey...,60
S06E07 Phoebe Runs.txt,Janine,"Well, I don't think there is anything to do. I mean I think you're really sweet, but I'm just not interested in you like that.",60
S06E07 Phoebe Runs.txt,Janine,"No! I mean you're a really nice guy and I'm happy to be your roommate and your friend, I'm just y'know, I just don't feel that way about you.",60
S06E07 Phoebe Runs.txt,Janine,I don't think so.,60
S06E07 Phoebe Runs.txt,Janine,I'm OK,61
S06E07 Phoebe Runs.txt,Janine,What?,61
S06E07 Phoebe Runs.txt,Janine,...and live forever as a machine!,69
S06E07 Phoebe Runs.txt,Janine,"Yeah, I gotta go.",69
S06E10 The Routine.txt,Janine,Hey guys!,9
S06E10 The Routine.txt,Janine,I just got a call to be a dancer on a television special for New Year’s Eve. It’s called some sort of Dick’n Rock’n Dickie Eve.,9
S06E10 The Routine.txt,Janine,"Yeah, that’s what I said.",9
S06E10 The Routine.txt,Janine,Well I’m gonna be on it this year. I’m gonna be one of the party people.,10
