filename,character,dialogue,scene
S02E12-S02E13 The Superbowl.txt,Janitor,Meet me in the nocturnal house in 15 minutes.,31
S02E12-S02E13 The Superbowl.txt,Janitor,It's about your monkey. It's alive.,31
S02E12-S02E13 The Superbowl.txt,Janitor,"Ahh, the bat. Ambassador of darkness, flitting out of his cave like a winged messenger, sightless spectre of the macabe.",37
S02E12-S02E13 The Superbowl.txt,Janitor,"Oh, yeah, right. There was a break-in, few months back, inside job. Your monkey was taken.",37
S02E12-S02E13 The Superbowl.txt,Janitor,The zoo! Do you believe everything the zoo tells ya?,37
S02E12-S02E13 The Superbowl.txt,Janitor,Of course they're gonna say he's dead. They don't want the bad publicity. It's all a great big cover-up. Do you have any idea how high up this thing goes?,37
S02E12-S02E13 The Superbowl.txt,Janitor,Lipson knows. Do you have any idea who else knows?,37
S02E12-S02E13 The Superbowl.txt,Janitor,"Hmm, Lipson knows huh? Ahh, hello Mr. Opossum, enigma of the trees, upside-down denizen of the night, taunting gravity with...",37
S02E12-S02E13 The Superbowl.txt,Janitor,"Word on the street - well, when I say street, I mean those little pretend streets they have here at the zoo.",37
S02E12-S02E13 The Superbowl.txt,Janitor,"Your monkey found a new career, in the entertainment field. That's all I know.",37
S02E12-S02E13 The Superbowl.txt,Janitor,"So, what is this information worth to you, my friend?",37
S02E12-S02E13 The Superbowl.txt,Janitor,Maybe.,37
