filename,character,dialogue,scene
S10E15 Estelle Dies.txt,Jennifer,Previously on Friends...,2
S07E24 Friends Special The Stuff Youve Never Seen.txt,Jennifer,Once and a while.,3
S07E24 Friends Special The Stuff Youve Never Seen.txt,Jennifer,Are you okay?,28
S07E24 Friends Special The Stuff Youve Never Seen.txt,Jennifer,With Operation.,39
S07E24 Friends Special The Stuff Youve Never Seen.txt,Jennifer,That damn monkey.,58
S07E24 Friends Special The Stuff Youve Never Seen.txt,Jennifer,"Lisa’s laugh though…There’s—It’s so infectious. It’s one of those things…just forget about it. Once it starts, it’s all gone.",63
S07E24 Friends Special The Stuff Youve Never Seen.txt,Jennifer,Okay.,65
S07E24 Friends Special The Stuff Youve Never Seen.txt,Jennifer,"Aww, the kids.",86
S07E24 Friends Special The Stuff Youve Never Seen.txt,Jennifer,Okay…,88
S07E24 Friends Special The Stuff Youve Never Seen.txt,Jennifer,Oh little Ben.,89
S07E24 Friends Special The Stuff Youve Never Seen.txt,Jennifer,She’s trying to intrigue us to hang out with her.,92
S07E24 Friends Special The Stuff Youve Never Seen.txt,Jennifer,You just know.,121
S07E24 Friends Special The Stuff Youve Never Seen.txt,Jennifer,Thank you Conan!,144
