filename,character,dialogue,scene
S08E19 Joeys Interview.txt,Jill,"Oh my God, Rachel!",125
S08E19 Joeys Interview.txt,Jill,Hi!,127
S01E07 The Blackout.txt,Jill,Would you like some gum?,43
S01E07 The Blackout.txt,Jill,Are you alright?,92
S01E07 The Blackout.txt,Jill,Perfection?,95
S01E07 The Blackout.txt,Jill,"Chandler, we've been here for an hour doing this! Now watch, it's easy.",107
S01E07 The Blackout.txt,Jill,"No, you've got to whip it.",109
S01E07 The Blackout.txt,Jill,"Well, this has been fun.",116
S06E14 Chandler Cant Cry.txt,Jill,Hey!,29
S06E14 Chandler Cant Cry.txt,Jill,"You’ll never believe what just happened, Ross just totally blew me off and he didn’t even tell me why!",29
S06E14 Chandler Cant Cry.txt,Jill,"Y’know, thanks for trying to cheer me up, but I’m not gonna date some random guy from your work.",29
S06E14 Chandler Cant Cry.txt,Jill,It’s probably because not mature enough. Or smart enough. Maybe he doesn’t like the way I dress—No that can’t be it. It’s really gotta be the smart thing. Oh I’m so stupid! I’m just like this incredibly pretty stupid girl!,29
S06E14 Chandler Cant Cry.txt,Jill,You asked him too?!,29
S06E14 Chandler Cant Cry.txt,Jill,Why?!,29
S06E14 Chandler Cant Cry.txt,Jill,"I don’t understand, do you want to go out with Ross?",29
S06E14 Chandler Cant Cry.txt,Jill,"You don’t want him, but you don’t want me to have him?",29
S06E14 Chandler Cant Cry.txt,Jill,Hey! You have no right to tell me what to do.,31
S06E14 Chandler Cant Cry.txt,Jill,Why are you so jealous of me?,31
S06E14 Chandler Cant Cry.txt,Jill,Who?!,32
S06E14 Chandler Cant Cry.txt,Jill,"Rachel and I had a really big fight, can I come in? I-I mean I know we’re not supposed to see each other anymore and I’m okay with that, it’s just that I don’t know anybody in the city and I really need somebody to talk to about it.",53
S06E14 Chandler Cant Cry.txt,Jill,But you know what might really cheer me up?,55
S06E14 Chandler Cant Cry.txt,Jill,Seeing some more of your super-cool slides.,55
S06E14 Chandler Cant Cry.txt,Jill,"Totally, I love them! And, maybe you could finish telling me about all the different kinds of sand.",55
S06E14 Chandler Cant Cry.txt,Jill,"Oh great! Thanks Ross, you’re such a good friend!",55
S06E14 Chandler Cant Cry.txt,Jill,"Yeah. Ooh, I know what this is missing! Alcohol!",63
S06E14 Chandler Cant Cry.txt,Jill,"All right, I’m leaving! Because I’m not going to spend one more day with someone whose out to sabotage my every move. That’s you Rachel!",80
S06E13 Rachels Sister.txt,Jill,"Oh my God, Rachel!",14
S06E13 Rachels Sister.txt,Jill,Hi!,16
S06E13 Rachels Sister.txt,Jill,"And y’know what I said to him? ""I’m gonna hire a lawyer and I’m gonna sue you and take all your money. Then I’m gonna cut you off!""",21
S06E13 Rachels Sister.txt,Jill,That he wouldn’t pay for my lawyer! Then he told me to come here and learn about the value of money from the one daughter he’s actually proud off.,21
S06E13 Rachels Sister.txt,Jill,"Okay, I bought a boat.",22
S06E13 Rachels Sister.txt,Jill,"Yeah but it wasn’t for me, it was for a friend.",22
S06E13 Rachels Sister.txt,Jill,"Oh, that’s so great! Okay, I’m really gonna do this! I don’t know how to thank you guys.",23
S06E13 Rachels Sister.txt,Jill,"Oh, Mr. Scientist has to get all technical!",29
S06E13 Rachels Sister.txt,Jill,So who made her queen of the world?,29
S06E13 Rachels Sister.txt,Jill,Hey!,30
S06E13 Rachels Sister.txt,Jill,"Right! But, I am sorry.",36
S06E13 Rachels Sister.txt,Jill,She took all my stuff.,37
S06E13 Rachels Sister.txt,Jill,"Oh my gosh, that was so lame. Like a pajmena could be a rug!",39
S06E13 Rachels Sister.txt,Jill,Were you this cute in high school?,42
S06E13 Rachels Sister.txt,Jill,No you stop!,42
S06E13 Rachels Sister.txt,Jill,You stop!,42
S06E13 Rachels Sister.txt,Jill,Oh no! But I just walked past three sales and I didn’t go in. How strong am I?,54
S06E13 Rachels Sister.txt,Jill,Yeah.,54
S06E13 Rachels Sister.txt,Jill,Me go out with Ross?! No! God no! What would make you think that?,54
S06E13 Rachels Sister.txt,Jill,No! I mean he’s nice.,54
S06E13 Rachels Sister.txt,Jill,"He’s the kind of guy you’re friends with, y’know? But he’s not the kind of guy you date. He’s the kind of guy you’d date because you did. Me, not so much.",54
S06E13 Rachels Sister.txt,Jill,"Oh no-no-no, he’s just I don’t know, he’s just a little bookish.",54
S06E13 Rachels Sister.txt,Jill,You think so too?,54
S06E13 Rachels Sister.txt,Jill,"Fine, then let’s just say he’s not my type.",54
S06E13 Rachels Sister.txt,Jill,"Well okay, if it means that much to you, then I’ll ask him out.",54
S06E13 Rachels Sister.txt,Jill,"No! Y’know what Rachel? You’re right, y’know he has been really nice to me.",54
S06E13 Rachels Sister.txt,Jill,"Yeah but maybe that’s a good thing. Y’know I’m doing all these different sorts of things, and maybe I should try dating a geek too!",54
S06E13 Rachels Sister.txt,Jill,What?,54
S06E13 Rachels Sister.txt,Jill,Really?!,76
S06E13 Rachels Sister.txt,Jill,It’s yours!,76
S06E13 Rachels Sister.txt,Jill,Hey!,78
