filename,character,dialogue,scene
S03E20 The Dollhouse.txt,Joanna,Bing! That’s a great name.,12
S03E20 The Dollhouse.txt,Joanna,Me too.,12
S03E20 The Dollhouse.txt,Joanna,"Oh no, no-no-no, is he ah, married, or involved with anyone?",13
S03E20 The Dollhouse.txt,Joanna,"Would you? Or, is it just to sad and desperate, and y'know something that Sophie would do?",14
S03E20 The Dollhouse.txt,Joanna,I know that.,14
S03E20 The Dollhouse.txt,Joanna,Chandler is fantastic!!,40
S03E20 The Dollhouse.txt,Joanna,"Oh God, we just clicked! Y’know how people just click? Like he came by to pick me up, and I opened the door, and it was just like, click! Did he tell you?",40
S03E20 The Dollhouse.txt,Joanna,"Oh, and he’s got such a good heart! Doesn’t he have a good heart?",40
S03E20 The Dollhouse.txt,Joanna,"Oh, I know and he’s soo sweet! Listen, he said he was going to call, so put him straight through.",40
S03E20 The Dollhouse.txt,Joanna,Don’t spoil it.,40
S03E20 The Dollhouse.txt,Joanna,Why?! Why?! He said he’d call. Why hasn’t he called?,64
S03E20 The Dollhouse.txt,Joanna,"Sophie, would you please climb out of my butt. Why hasn’t he called, Rachel? Why?",64
S03E20 The Dollhouse.txt,Joanna,Awkward? Why should he feel awkward?,64
S03E20 The Dollhouse.txt,Joanna,"The only person that should feel awkward is you, and you didn’t tell him not to call me, did you?",64
S03E20 The Dollhouse.txt,Joanna,"Because if you feel uncomfortable with your friend dating someone you work for, there are always ways to fix...that.",64
S03E20 The Dollhouse.txt,Joanna,"Well, thanks again for lunch.",83
S03E20 The Dollhouse.txt,Joanna,"It was, wasn’t it?",85
S03E20 The Dollhouse.txt,Joanna,Wasn’t it?,85
S03E20 The Dollhouse.txt,Joanna,You too.,85
S03E20 The Dollhouse.txt,Joanna,"Great! I’m looking forward to it. Rachel, any messages?",86
S03E20 The Dollhouse.txt,Joanna,What?,89
S03E20 The Dollhouse.txt,Joanna,"Well, this isn’t how I was hoping how this would end, but I guess I have to appreciate your honesty.",90
S03E20 The Dollhouse.txt,Joanna,So...,90
S04E09 Theyre Going To Party.txt,Joanna,"Oh. Well, I wish I could say no, but you can’t stay my assistant forever. Neither can you Sophie, but for different reasons.",12
S04E09 Theyre Going To Party.txt,Joanna,"Really? Well, in that case…",12
S04E09 Theyre Going To Party.txt,Joanna,"That’s fine, actually I’m on the hiring committee, so there’ll be at least one friendly face.",13
S04E09 Theyre Going To Party.txt,Joanna,"You know, Junior Miss is where I started. Oh, I had to sleep with the ugliest guy to get that job.",13
S04E09 Theyre Going To Party.txt,Joanna,"Kidding! God, I feel wild today!",14
S04E09 Theyre Going To Party.txt,Joanna,Oh. And Rachel has been really incredible in getting my morning bagel for me. It’s amazing how she gets it right almost every time!,20
S04E09 Theyre Going To Party.txt,Joanna,"With them, under them, what’s the difference? Eh, Rach?",22
S04E09 Theyre Going To Party.txt,Joanna,I thought it went very well.,34
S04E09 Theyre Going To Party.txt,Joanna,"Rachel, please, don’t make a scene.",35
S04E09 Theyre Going To Party.txt,Joanna,What?! What would make you think that?,37
S04E09 Theyre Going To Party.txt,Joanna,"Wait-wait-wait-wait! You can put your sad little muffin back in it’s drawer. If you must know the truth, I didn’t want to lose a perfectly good assistant.",38
S04E09 Theyre Going To Party.txt,Joanna,That’s why I said all those things about your flirting and your drinking…,38
S04E09 Theyre Going To Party.txt,Joanna,"Oh, I must’ve said that after you left.",38
S04E09 Theyre Going To Party.txt,Joanna,That you enjoyed the occasional drink…ing binge.,38
S04E09 Theyre Going To Party.txt,Joanna,"Wait-wait-wait-wait-wait-wait-wait-wait!! If you’re gonna get all sensitive about it! I don’t want to lose you. What if I, create a position for you? I’ll make you an assistant buyer in this department.",38
S04E09 Theyre Going To Party.txt,Joanna,"You can have your own office, and a raise! Effective tomorrow.",38
S04E09 Theyre Going To Party.txt,Joanna,Done!,38
S04E03 The Cuffs.txt,Joanna,"No, we are. I’m sad.",44
S04E03 The Cuffs.txt,Joanna,"No, no, that was my boss. I have to go.",45
S04E03 The Cuffs.txt,Joanna,What are you doing?,46
S04E03 The Cuffs.txt,Joanna,Why?,46
S04E03 The Cuffs.txt,Joanna,Wait. I wanna show you something.,46
S04E03 The Cuffs.txt,Joanna,"Knowing you’re here, waiting for me I think it’s kinda exciting.",49
S04E03 The Cuffs.txt,Joanna,"A couple of hours, I feel awful.",58
S04E03 The Cuffs.txt,Joanna,I can’t!!,58
S04E03 The Cuffs.txt,Joanna,I’m in my boss’s car!,58
S04E03 The Cuffs.txt,Joanna,"Rachel, could you come in here for a moment, please?",109
S04E03 The Cuffs.txt,Joanna,I seem to have had a slight office mishap. Could you please get the key off the back of the door for me.,110
S04E03 The Cuffs.txt,Joanna,You tell your friend Chandler that we’re definately broken up this time.,111
