filename,character,dialogue,scene
S07E05 The Engagement Picture.txt,Joey,"All right, I guess this will be fine.",25
S07E05 The Engagement Picture.txt,Joey,"Nothing, why?",25
S07E05 The Engagement Picture.txt,Joey,"Huh, Rach I got to say it’s gonna take a lot of money for me to go out on a date with a dude.",25
S07E05 The Engagement Picture.txt,Joey,Really? ‘Cause I could kinda use the money.,25
S07E05 The Engagement Picture.txt,Joey,"Yeah, okay.",25
S07E05 The Engagement Picture.txt,Joey,"All right, all right, all right, all right, you wanna know what I do when I take resume shots?",55
S07E05 The Engagement Picture.txt,Joey,Hey!,58
S07E05 The Engagement Picture.txt,Joey,Yeah! That guy’s all right!,58
S07E05 The Engagement Picture.txt,Joey,What?,58
S07E05 The Engagement Picture.txt,Joey,"Hey well, you can’t teach someone to be good with women. Y’know, that’s why I never had any luck with Chandler.",58
S07E05 The Engagement Picture.txt,Joey,"Hey! No-no-no-no, you can’t take him away from me! I got a great partner to pick up girls with! Finally!!",59
S07E05 The Engagement Picture.txt,Joey,"I know, Monica told me.",60
S07E05 The Engagement Picture.txt,Joey,I don’t know Rach.,63
S07E05 The Engagement Picture.txt,Joey,"I don’t know. You uh, you got something for me?",65
S07E05 The Engagement Picture.txt,Joey,Ten. Okay. Now Tag there’s such a thing as to many women.,66
S07E05 The Engagement Picture.txt,Joey,"Yeah, for you!",66
S07E05 The Engagement Picture.txt,Joey,"Yeah, we look great together.",89
S07E05 The Engagement Picture.txt,Joey,"Y’know, we don’t have to imagine.",89
S07E05 The Engagement Picture.txt,Joey,We’ll just see.,89
S01E18 All The Poker.txt,Joey,"Oh no, I'm sure the Xerox machine caught a few.",3
S01E18 All The Poker.txt,Joey,Shut up!,17
S01E18 All The Poker.txt,Joey,Thank you.,17
S01E18 All The Poker.txt,Joey,"There was chocolate on the three. It looked like an eight, alright?",18
S01E18 All The Poker.txt,Joey,"Yeah, we just don't happen to know any women that know how to play poker.",18
S01E18 All The Poker.txt,Joey,About what?,30
S01E18 All The Poker.txt,Joey,Heh... I was bluffing.,30
S01E18 All The Poker.txt,Joey,"You know what, you guys? It's their first time, why don't we just forget about the money, alright?",31
S01E18 All The Poker.txt,Joey,"No, I don't think so, see Ross, because I think you love her.",37
S01E18 All The Poker.txt,Joey,"Alright now listen, you guys, we talked about it, and if you don't want to play, we completely understand.",51
S01E18 All The Poker.txt,Joey,"But hey, thanks for teachin' us Cross-Eyed Mary. You guys, we gotta play that at our regular game.",54
S01E18 All The Poker.txt,Joey,What?,55
