filename,character,dialogue,scene
S04E20 The Wedding Dresses.txt,Joshua,What’s up? You’re voice sounded all squeaky on the phone.,40
S04E20 The Wedding Dresses.txt,Joshua,Great!,41
S04E20 The Wedding Dresses.txt,Joshua,Do I?,43
S04E20 The Wedding Dresses.txt,Joshua,"Yeah, sure-sure, yeah, we’re-we’re-we’re-we’re-we’re clicking.",43
S04E20 The Wedding Dresses.txt,Joshua,"I-I gotta say, I-I-I-I’m not too sure I agree with that.",43
S04E20 The Wedding Dresses.txt,Joshua,"Wow! Uhh, Rachel uhh, you’re a real special lady, but my divorce isn’t final yet and, and, and we’ve been on four days, so I’m thinking ""No, but thanks.""",45
S04E20 The Wedding Dresses.txt,Joshua,I gotta go.,88
S04E14 Joeys Dirty Day.txt,Joshua,"So, these will match the jacket you picked out for me last week?",13
S04E14 Joeys Dirty Day.txt,Joshua,"Gloves. Brown, leather dress gloves.",15
S04E14 Joeys Dirty Day.txt,Joshua,Also large?,16
S04E14 Joeys Dirty Day.txt,Joshua,Okay.,16
S04E14 Joeys Dirty Day.txt,Joshua,Gloves?,20
S04E14 Joeys Dirty Day.txt,Joshua,"Uhh, actually y’know what, I kinda—I have to take off.",20
S04E14 Joeys Dirty Day.txt,Joshua,"But, I was curious; do you have any plans for tonight?",20
S04E14 Joeys Dirty Day.txt,Joshua,"I invested in this night-club and it’s opening tonight, would you like to come?",20
S04E14 Joeys Dirty Day.txt,Joshua,You’re into hardcore S&M right?,20
S04E16 The Fake Party.txt,Joshua,Why not?!,26
S04E16 The Fake Party.txt,Joshua,"Y’know, they ruin it for everybody.",27
S04E16 The Fake Party.txt,Joshua,"Y’know, I wore that cashmere sweater on a date last night.",27
S04E16 The Fake Party.txt,Joshua,"Yeah, it was my first date since the uh, since the divorce.",27
S04E16 The Fake Party.txt,Joshua,"No, no, no, she’s nice but, y’know, it just it made me realize that I’m just not, I’m just not ready to be dating, y’know?",27
S04E16 The Fake Party.txt,Joshua,Hi!,38
S04E16 The Fake Party.txt,Joshua,"Oh, no thanks.",38
S04E16 The Fake Party.txt,Joshua,"Uhh, yeah, I think I’m going to take-off too.",47
S04E16 The Fake Party.txt,Joshua,Hey!,67
S04E16 The Fake Party.txt,Joshua,"Nice uh, costume.",67
S04E16 The Fake Party.txt,Joshua,"Umm, that was really great, but I-I gotta take-off actually.",72
S04E16 The Fake Party.txt,Joshua,Okay.,73
S04E16 The Fake Party.txt,Joshua,"So, this was uh, really fun.",76
S04E16 The Fake Party.txt,Joshua,"Need uh, need a little hand there.",77
S04E16 The Fake Party.txt,Joshua,You really don’t seem like you do. That’s…,77
S04E16 The Fake Party.txt,Joshua,"Well, what was supposed to happen?",79
S04E16 The Fake Party.txt,Joshua,"No, no-no, no-no, my point is that I kept coming back because, I wanted to see you.",81
S04E16 The Fake Party.txt,Joshua,Because I-I like you.,81
S04E16 The Fake Party.txt,Joshua,Yeah! I mean you’re-you’re beautiful and smart and sophisticated—a lot of this isn’t based on tonight.,81
S04E16 The Fake Party.txt,Joshua,But…,81
S04E16 The Fake Party.txt,Joshua,"Okay uh, however…",81
S04E16 The Fake Party.txt,Joshua,"My marriage like just ended, and I’m really not ready to get into anything yet.",81
S04E16 The Fake Party.txt,Joshua,"I’m sorry, I, I just need a little time.",81
S04E16 The Fake Party.txt,Joshua,All those things I said about not being ready…,86
S04E16 The Fake Party.txt,Joshua,"No, they’re-they’re all true.",86
S04E16 The Fake Party.txt,Joshua,But…,86
S04E16 The Fake Party.txt,Joshua,Yeah.,87
S04E18 Rachels New Dress.txt,Joshua,This is so nice. Thank you for doing this.,25
S04E18 Rachels New Dress.txt,Joshua,"Great! Oh, it all looks sooo good!",26
S04E18 Rachels New Dress.txt,Joshua,Oh my God!,27
S04E18 Rachels New Dress.txt,Joshua,Behind you?,27
S04E18 Rachels New Dress.txt,Joshua,"Yeah, it’s-it’s my only weird thing, I swear. And I-I-I would’ve told you about it, but I didn’t know they would be here.",32
S04E18 Rachels New Dress.txt,Joshua,"So, all right.",32
S04E18 Rachels New Dress.txt,Joshua,"Nothing I uh, it’s just that I know that they’re still out there.",34
S04E18 Rachels New Dress.txt,Joshua,"Okay, that’s-that’s not funny. Uhh.",34
S04E18 Rachels New Dress.txt,Joshua,"Oh, they’re working on this week, it’s a total mess. But uh, I’m staying at my parents’ house, we could go there.",34
S04E18 Rachels New Dress.txt,Joshua,"Yeah, they’re out of town.",34
S04E18 Rachels New Dress.txt,Joshua,"Yeah-yeah, it’s this huge place, and-and it’s got this gorgeous view of the park, and very, very romantic. What do you say?",34
S04E18 Rachels New Dress.txt,Joshua,They-they-they can smell fear.,35
S04E18 Rachels New Dress.txt,Joshua,"…and even though none of the other kids believed me, I swear to God, that duck pushed me!",39
S04E18 Rachels New Dress.txt,Joshua,"Yeah, yeah, let me show you around. This is the uh, downstairs living room.",39
S04E18 Rachels New Dress.txt,Joshua,"Yeah, well, it would’ve been, but uh, my parents just moved here.",39
S04E18 Rachels New Dress.txt,Joshua,"Hey, here’s an idea. Why don’t uh, I put the food in the fridge and we can eat it later?",40
