filename,character,dialogue,scene
S02E02 The Breast Milk.txt,Julie,"Rachel, do you have any muffins left?",10
S02E02 The Breast Milk.txt,Julie,"Oh, you're busy, that's ok, I'll get it. Anybody else want one?",10
S02E02 The Breast Milk.txt,Julie,"Oh, listen you guys. I have this friend at Bloomingdale's who's quitting tomorrow and he wants to abuse his discount. So, anyone want to come with me and take advantage of it?",12
S02E02 The Breast Milk.txt,Julie,Great.,12
S02E02 The Breast Milk.txt,Julie,So.,70
S02E02 The Breast Milk.txt,Julie,"I know, I probably shouldn't even tell you this, but I'm pretty much totally intimidated by you.",70
S02E02 The Breast Milk.txt,Julie,"Yes. Oh my god, are you kidding? Ross is so crazy about you, and I really wanted you to like me, and, it's probably me being totally paranoid, but I kinda got the feeling that maybe you don't.",70
S02E02 The Breast Milk.txt,Julie,Oy.,70
S02E02 The Breast Milk.txt,Julie,"Thanks. Hey, listen, would you like to go to a movie sometime or something?",70
S02E02 The Breast Milk.txt,Julie,"I'd love it too. Shoot, I gotta go. So, I'll talk to you later.",70
S01E24 Rachel Finds Out.txt,Julie,"Oh, thanks, sweetie.",97
S01E24 Rachel Finds Out.txt,Julie,Really?,97
S01E24 Rachel Finds Out.txt,Julie,You don't think they'll judge and ridicule me?,97
S02E08 The List.txt,Julie,"Hi, honey.",13
S02E08 The List.txt,Julie,Good.,14
S02E08 The List.txt,Julie,What?,16
S07E06 The Nap Partners.txt,Julie,Hello Skidmark.,46
S07E06 The Nap Partners.txt,Julie,That’s why you broke up with me?,47
S02E07 Ross Finds Out.txt,Julie,"Yeah, we figure it'll live with Ross half the time, and with me half the time.",19
S02E01 Rosss New Girlfriend.txt,Julie,"Hi, but I'm not here, you haven't met me. I'll make a much better first impression tomorrow when I don't have 20 hours of cab and plane on me.",16
S02E01 Rosss New Girlfriend.txt,Julie,Oh my god.,16
S02E01 Rosss New Girlfriend.txt,Julie, And the spitting?,16
S02E01 Rosss New Girlfriend.txt,Julie,"We're on this bus, that's easily 200 years old...",16
S02E01 Rosss New Girlfriend.txt,Julie, ...and this guy...,16
S02E01 Rosss New Girlfriend.txt,Julie,"Well, Ross and I were in grad school together.",16
S02E01 Rosss New Girlfriend.txt,Julie,And then we've gotta get some sleep.,17
S02E01 Rosss New Girlfriend.txt,Julie,"I was thinking of doing it a little shorter, you know, like Andie McDowell's new haircut?",74
S02E01 Rosss New Girlfriend.txt,Julie,Really?,74
S02E10 Russ.txt,Julie,Hey.,81
S02E10 Russ.txt,Julie,"Um, oh, I don't know. I mean, it's definitely weird not being with Ross, but I guess I'm doing OK. Actually I've got some of his stuff that he, um....",81
S08E23 Rachel Has A Baby.txt,Julie,Hi.,19
S08E23 Rachel Has A Baby.txt,Julie,Hi. Is this your first?,20
S08E23 Rachel Has A Baby.txt,Julie,"Well, little Jamie here is our third. So, if you have questions or you need anything at all, just holler.",20
S08E23 Rachel Has A Baby.txt,Julie,"Yeah, we are going to share every moment of this with you. And I think we’re gonna have some fun.",21
S08E23 Rachel Has A Baby.txt,Julie,"Oh honey, I think I’m having one too!",23
S08E23 Rachel Has A Baby.txt,Julie,Have you felt Rachel’s cervix Ross?,31
S08E23 Rachel Has A Baby.txt,Julie,"Well, if you like you can feel Rachel’s and then feel mine to compare.",33
S02E04 Phoebes Husband.txt,Julie,"You know, in some cultures having a third nipple is actually a sign of virility. You get the best huts and women dance naked around you.",10
S02E04 Phoebes Husband.txt,Julie,Where you goin'?,12
S02E04 Phoebes Husband.txt,Julie,See you later Rach.,14
S02E04 Phoebes Husband.txt,Julie,Yeah?,24
S02E04 Phoebes Husband.txt,Julie,"So is there like a story or do they just stard doing it right. . . oh, never mind.",28
S02E04 Phoebes Husband.txt,Julie,That saves us a conversation.,31
S02E04 Phoebes Husband.txt,Julie,What about Julie?,31
S02E04 Phoebes Husband.txt,Julie,"Well, that could take a while.",31
S02E04 Phoebes Husband.txt,Julie,"Well, in a nutshell. . .",32
S02E04 Phoebes Husband.txt,Julie,"And my second grade teacher was Ms. Thomas, and my first grade teacher was Mrs. Cobb.",36
S02E04 Phoebes Husband.txt,Julie,"No Cobb, as in cobb salad.",36
S04E21 The Invitation.txt,Julie,"Well, Ross and I were in grad school together.",98
