filename,character,dialogue,scene
S03E19 The Tiny T-Shirt.txt,Kate,Hi.,13
S03E19 The Tiny T-Shirt.txt,Kate,Yes. Are you one of the retarded cousins?,13
S03E19 The Tiny T-Shirt.txt,Kate,"Hi, nice to meet you. Kate Miller.",13
S03E19 The Tiny T-Shirt.txt,Kate,"Oh, yeah. I love Jennifer Van Murray’s work. She’s so brilliantly incisive when it comes to deconstructing the psyche of the American middle class.",14
S03E19 The Tiny T-Shirt.txt,Kate,Where do I know you from?,14
S03E19 The Tiny T-Shirt.txt,Kate,"No, that’s not it. So, you’re a soap actor? Well this must be pretty exciting for you to be in a real play, hmm?",14
S03E19 The Tiny T-Shirt.txt,Kate,That info-mercial! For the milk carton spout thing! You’re-you’re-you’re the guy that doesn’t know how to pour milk!!,14
S03E19 The Tiny T-Shirt.txt,Kate,"Right, at the end, you choked on a cookie.",14
S03E19 The Tiny T-Shirt.txt,Kate,Happy?! Is that what I’m supposed to be Vic? Happy?,35
S03E19 The Tiny T-Shirt.txt,Kate,I have a question about this scene.,36
S03E19 The Tiny T-Shirt.txt,Kate,"Well, I don’t understand why Adrienne’s attracted to Victor.",36
S03E19 The Tiny T-Shirt.txt,Kate,I think my character’s gonna need a little bit more of reason than that.,36
S03E19 The Tiny T-Shirt.txt,Kate,It doesn’t say that in the script.,36
S03E19 The Tiny T-Shirt.txt,Kate,Happy?! Is that what I’m supposed to be Vic? Happy?,60
S03E19 The Tiny T-Shirt.txt,Kate,"Well, that was ah...",61
S03E19 The Tiny T-Shirt.txt,Kate,"Yeah! Yeah, it was definitely an improvement. G’night.",61
S03E19 The Tiny T-Shirt.txt,Kate,Yeah?,61
S03E19 The Tiny T-Shirt.txt,Kate,Hmm?,62
S03E19 The Tiny T-Shirt.txt,Kate,Umm.,62
S03E19 The Tiny T-Shirt.txt,Kate,Yep.,63
S03E19 The Tiny T-Shirt.txt,Kate,Yeah.,63
S03E19 The Tiny T-Shirt.txt,Kate,"So umm, I’ll see you tomorrow, huh?",64
S03E20 The Dollhouse.txt,Kate,Morning.,24
S03E20 The Dollhouse.txt,Kate,He happens to be brilliant. Which is more than I can say for that sweater you’re dating.,44
S03E20 The Dollhouse.txt,Kate,"I don’t care. Why, do you want me to care?",44
S03E20 The Dollhouse.txt,Kate,Do you?,44
S03E20 The Dollhouse.txt,Kate,I’ve got no reason to stay.,46
S03E20 The Dollhouse.txt,Kate,"I can’t believe we go on in, in a week.",48
S03E20 The Dollhouse.txt,Kate,"Yeah, I guess. Look, what are we gonna do about this scene, huh?",53
S03E20 The Dollhouse.txt,Kate,"Well umm, maybe if it had more heat.",53
S03E20 The Dollhouse.txt,Kate,"Well, Adrian’s looking for a reason to stay, right? Victor can’t just kiss her, he’s gotta, gotta really give her a reason, y'know?",53
S03E20 The Dollhouse.txt,Kate,"Or maybe, maybe he could grab her, and, and, and, and lift her up.",53
S03E20 The Dollhouse.txt,Kate,"And then she could rip off his shirt and kiss his chest, and, and his stomach!",53
S03E20 The Dollhouse.txt,Kate,"And then right, right when the scene ends, he could take her with this raw, animal....",53
S03E20 The Dollhouse.txt,Kate,"Yeah, that’s pretty much what I had in mind.",54
S03E20 The Dollhouse.txt,Kate,Hi.,72
S03E20 The Dollhouse.txt,Kate,About what?,72
S03E20 The Dollhouse.txt,Kate,"Nooo. And there’s really no reason he should find out, so ah let’s not make a big deal about it, okay?",72
S03E20 The Dollhouse.txt,Kate,"Look umm, I, I was, I was just caught up in the moment. That’s all it was. Joey, I’m-I’m sorry you feel bad, but haven’t you ever sleep with a women where it meant more to her than it did to you?",72
S03E20 The Dollhouse.txt,Kate,"Hi, Lauren.",73
S03E22 The Screamer.txt,Kate,Fabulous.,47
S03E22 The Screamer.txt,Kate,Become a drama critic!,47
S03E22 The Screamer.txt,Kate,"By the way, he dumped me tonight after he read my review.",48
S03E22 The Screamer.txt,Kate,"Yep! I sure know how to pick ‘em, huh? Y'know I gave up a part on a soap for this!",48
S03E22 The Screamer.txt,Kate,Really. What?,48
S03E22 The Screamer.txt,Kate,Why the Post?,48
S03E22 The Screamer.txt,Kate,No. You?,48
S03E22 The Screamer.txt,Kate,"Oh, you’re sweet and cute.",50
S03E22 The Screamer.txt,Kate,What?,51
S03E22 The Screamer.txt,Kate,What? So you never went out with an actress before?,51
S03E22 The Screamer.txt,Kate,Of course I do.,51
S03E22 The Screamer.txt,Kate,"I don’t know! I just, just do this! I-I always have to pick the like the smartest guy, or-or the most talented guy… Why can’t I just pick someone like you?",51
S03E22 The Screamer.txt,Kate,Joey!,92
S03E22 The Screamer.txt,Kate,"I’m soo glad I caught you, I couldn’t find you before.",92
S03E22 The Screamer.txt,Kate,They still want me for General Hospital.,92
S03E22 The Screamer.txt,Kate,Last night was wonderful. But I-I can’t stay here just for you.,92
S03E22 The Screamer.txt,Kate,I’m sorry.,92
S03E22 The Screamer.txt,Kate,Flight’s in an hour. I-I gotta go.,93
