filename,character,dialogue,scene
S07E04 Rachels Assistant.txt,Kathy,Hey Rachel!,83
S07E04 Rachels Assistant.txt,Kathy,Cute assistant! What’s his story? Is he…,83
S04E06 The Dirty Girl.txt,Kathy,Can I borrow the keys to your apartment?,9
S04E06 The Dirty Girl.txt,Kathy,"Ahahaha... haha.. yes I can, of course. Excuse me.",10
S04E06 The Dirty Girl.txt,Kathy,Hey.,66
S04E06 The Dirty Girl.txt,Kathy,Thank you!,66
S04E06 The Dirty Girl.txt,Kathy,I'll be in in a minute.,71
S04E06 The Dirty Girl.txt,Kathy,"Um, thank you for the gift.",73
S04E06 The Dirty Girl.txt,Kathy,"No, I... I didn't mean the pen. Thank you for the book.",73
S04E06 The Dirty Girl.txt,Kathy,The Velveteen Rabbit. I kinda have the feeling you had something to do with it.,73
S04E06 The Dirty Girl.txt,Kathy,"Well, uh, when Joey gave it to me, he said, ""This is 'cause I know ya like Rabbits, and I know ya like cheese."" Thanks. I love it. And I know how hard it must have been for you to find.",73
S04E06 The Dirty Girl.txt,Kathy,You must really like... Joey... to go to all that trouble for him.,74
S04E06 The Dirty Girl.txt,Kathy,Well....,74
S04E13 Rachels Crush.txt,Kathy,Hi!,4
S04E13 Rachels Crush.txt,Kathy,"No, you’re my first. Put the money on the table.",4
S04E13 Rachels Crush.txt,Kathy,If you want it to be.,6
S04E13 Rachels Crush.txt,Kathy,Hey you guys!,34
S04E13 Rachels Crush.txt,Kathy,Wasn’t Nick funny when he couldn’t get his match lit?,36
S04E13 Rachels Crush.txt,Kathy,"It’s a good play, isn’t it?",37
S04E13 Rachels Crush.txt,Kathy,"Clearly, I’m having sex with him?",39
S04E13 Rachels Crush.txt,Kathy,"Okay, so let me just get this straight. You’re accusing me of cheating on you, and insulting my performance?",39
S04E13 Rachels Crush.txt,Kathy,"Acting! Chandler, this is my job! I’m-I’m playing a part in a play! How can you not trust me?!",39
S04E13 Rachels Crush.txt,Kathy,"Oh, wow. I can’t believe you’re throwing that in my face.",39
S04E13 Rachels Crush.txt,Kathy,"I’ll tell you what, Chandler, why don’t you call me when you grow up!",39
S04E13 Rachels Crush.txt,Kathy,Oh wow. I really wish you’d call me.,72
S04E13 Rachels Crush.txt,Kathy,Yeah.,73
S04E07 Chandler Crosses The Line.txt,Kathy,So is Joey around?,26
S04E07 Chandler Crosses The Line.txt,Kathy,"I uh, don’t really have a preference. You?",26
S04E07 Chandler Crosses The Line.txt,Kathy,Oh.,31
S04E07 Chandler Crosses The Line.txt,Kathy,"Oh, okay.",31
S04E07 Chandler Crosses The Line.txt,Kathy,So what did you do today?,31
S04E07 Chandler Crosses The Line.txt,Kathy,"Well, I could cut it.",32
S04E07 Chandler Crosses The Line.txt,Kathy,"Yeah, I do. Of course, I learned at my aunt’s dog grooming shop, but hey, what do you say?",32
S04E07 Chandler Crosses The Line.txt,Kathy,You have really great hair.,33
S04E07 Chandler Crosses The Line.txt,Kathy,"Yes! Yeah! Joey has great hair! Umm, I’m basically done here. Just let me get this off your neck.",34
S04E07 Chandler Crosses The Line.txt,Kathy,Checking to see if it’s even.,35
S04E07 Chandler Crosses The Line.txt,Kathy,Looks good.,35
S04E07 Chandler Crosses The Line.txt,Kathy,I forgot my purse.,41
S04E07 Chandler Crosses The Line.txt,Kathy,"No, I really did forget my purse.",42
S04E07 Chandler Crosses The Line.txt,Kathy,Horrible!,44
S04E07 Chandler Crosses The Line.txt,Kathy,"No-no-no, the kiss was good.",44
S04E07 Chandler Crosses The Line.txt,Kathy,"No, but that’s bad!",44
S04E07 Chandler Crosses The Line.txt,Kathy,What?!,44
S04E07 Chandler Crosses The Line.txt,Kathy,Can you really do that?,44
S04E07 Chandler Crosses The Line.txt,Kathy,"Chandler, I like Joey a lot, but with you…",44
S04E07 Chandler Crosses The Line.txt,Kathy,"I’m sorry. If you wanna pretend that nothing happened, I can try.",45
S04E07 Chandler Crosses The Line.txt,Kathy,Okay. Bye.,45
S04E08 Chandler In A Box.txt,Kathy,"Oh my God, is it really that bad?",29
S04E08 Chandler In A Box.txt,Kathy,Oh.,31
S04E08 Chandler In A Box.txt,Kathy,"Hey. Listen, I want you to know how sorry I am…",88
S04E08 Chandler In A Box.txt,Kathy,"Well, I’m still sorry. Is he here?",88
S04E08 Chandler In A Box.txt,Kathy,Why not? What’s going on?,89
S04E08 Chandler In A Box.txt,Kathy,By being in a box?,89
S04E05 Joeys New Girlfriend.txt,Kathy,"No, you didn't. Hi, I'm Kathy.",14
S04E05 Joeys New Girlfriend.txt,Kathy,With a K.,14
S04E05 Joeys New Girlfriend.txt,Kathy,Wow! You are really good at this.,14
S04E05 Joeys New Girlfriend.txt,Kathy,Hi.,19
S04E05 Joeys New Girlfriend.txt,Kathy,"I'm sorry, it's just this Ernie Cofax thing on in a few minutes I wanted to watch.",19
S04E05 Joeys New Girlfriend.txt,Kathy,"You're kidding! Oh, I love him.",19
S04E05 Joeys New Girlfriend.txt,Kathy,Oh please!,19
S04E05 Joeys New Girlfriend.txt,Kathy,"Yeah, they teamed us up as partners. Joey picked three scenes for us to do; all of them had us making out.",19
S04E05 Joeys New Girlfriend.txt,Kathy,"No, but this wonder broom is amazing!",20
S04E05 Joeys New Girlfriend.txt,Kathy,Oh my God!,21
S04E05 Joeys New Girlfriend.txt,Kathy,"No, no, it's not like that. I, I work for a medical researcher.",27
S04E05 Joeys New Girlfriend.txt,Kathy,Okay.,27
S04E05 Joeys New Girlfriend.txt,Kathy,"Hey, Chandler! What are you doing here?",44
S04E05 Joeys New Girlfriend.txt,Kathy,Hey!,44
S04E05 Joeys New Girlfriend.txt,Kathy,"Ohh, God, guys, check it out, you can see that girl's underwear!",71
S04E05 Joeys New Girlfriend.txt,Kathy,Not your type?! She's gorgeous!,72
S04E05 Joeys New Girlfriend.txt,Kathy,"Okay. Understanding a little more why you're single. Ohh! Y'know, I have a friend you would like, she's really pretty. And then we could double date!",72
S04E05 Joeys New Girlfriend.txt,Kathy,"Okay, I've got some ugly friends, and they're all available too.",72
