filename,character,dialogue,scene
S05E18 Rachel Smokes.txt,Kim,"So it's down to these two, Nancy I know you like this one and I think I agree. Rachel, what do you think?",23
S05E18 Rachel Smokes.txt,Kim,"Oh don't be sorry, that's part of your job here to give your opinions and then I take credit for them--I'm kidding.",24
S05E18 Rachel Smokes.txt,Kim,"I don't know which one, but I do know I need a cigarette. So what do you say we take a break, we go outside, and we'll figure this out when we come back?",25
S05E18 Rachel Smokes.txt,Kim,"Hey Rachel, what are you doing out here?",41
S05E18 Rachel Smokes.txt,Kim,Nancy and I were talking about the fall collection.,41
S05E18 Rachel Smokes.txt,Kim,Oh that's great! You are the best!,43
S05E18 Rachel Smokes.txt,Kim,We get high.,45
S05E18 Rachel Smokes.txt,Kim,I'm kidding.,45
S05E18 Rachel Smokes.txt,Kim,"So, we're decided, no on plaid, yes on pink?",60
S05E18 Rachel Smokes.txt,Kim,Rachel didn't you just light that?,61
S05E18 Rachel Smokes.txt,Kim,It does sound appealing.,63
S05E18 Rachel Smokes.txt,Kim,"Oh y'know, we really should quit. Okay, let's quit!",63
S05E18 Rachel Smokes.txt,Kim,"Uh-oh, busted!",82
S05E18 Rachel Smokes.txt,Kim,Yeah. That didn't work out.,82
S05E18 Rachel Smokes.txt,Kim,No. No! You're doing great! Don’t you give up! That's why we didn't tell you and we're not gonna drag you down with us.,82
S05E18 Rachel Smokes.txt,Kim,"Forget it Rachel! We're both so proud of how well you're doing. I'm not gonna let you blow it. In fact, if I catch you with a cigarette, you're fired. So go on, get out of here! Go on, I don't want you breathing this stuff! Go on!",82
S05E18 Rachel Smokes.txt,Kim,"Oh, she doesn't come down here any more. You can find her up on ten.",103
S06E08 Rosss Teeth.txt,Kim,Uhh-huh.,26
S06E08 Rosss Teeth.txt,Kim,I didn’t read it.,26
S06E08 Rosss Teeth.txt,Kim,Yeah.,26
S06E08 Rosss Teeth.txt,Kim,Tell me everything.,27
S06E08 Rosss Teeth.txt,Kim,Hi Rachel.,48
S06E08 Rosss Teeth.txt,Kim,You didn’t cancel the fabric order from Taiwan?,48
S06E08 Rosss Teeth.txt,Kim,That’s not true?,48
S06E08 Rosss Teeth.txt,Kim,"Oh that’s interesting? Because I checked and only one keycard was used to access the copy machine yesterday during lunch and that keycard belonged to you, Rachel.",48
S06E08 Rosss Teeth.txt,Kim,Listen to me. If you think sleeping with Ralph is going to get you my job. You are sadly mistaken.,48
S06E08 Rosss Teeth.txt,Kim,Hi Ralph.,49
S06E08 Rosss Teeth.txt,Kim,"Yeah, nothing happen. You could cut the sexual tension in here with a knife.",50
S06E08 Rosss Teeth.txt,Kim,"Hi Rachel. Ohh, I’ve been meaning to ask you. Have you seen the new Ralph Lauren sheets? Ohh, what am I thinking. Of course you have.",66
S06E08 Rosss Teeth.txt,Kim,"Oh, really?",66
S06E08 Rosss Teeth.txt,Kim,Oh my God. He just gave you the coldest look I have ever seen. It’s like he hates you. Then it is true.,69
S06E08 Rosss Teeth.txt,Kim,Kenny the copyboy.,70
