filename,character,dialogue,scene
S08E04 The Videotape.txt,Kristen,"Umm, this is great wine.",38
S08E04 The Videotape.txt,Kristen,Really?,38
S08E04 The Videotape.txt,Kristen,I love hiking!,39
S08E04 The Videotape.txt,Kristen,I think its Tibidabo.,40
S07E17 The Cheap Wedding Dress.txt,Kristen,"I…I uh, actually just moved from four blocks over.",10
S07E17 The Cheap Wedding Dress.txt,Kristen,But-but this block is like a whole other world.,10
S07E17 The Cheap Wedding Dress.txt,Kristen,Oh I’d like that.,13
S07E17 The Cheap Wedding Dress.txt,Kristen,Yeah.,13
S07E17 The Cheap Wedding Dress.txt,Kristen,After you.,14
S07E17 The Cheap Wedding Dress.txt,Kristen,I’m moving in.,26
S07E17 The Cheap Wedding Dress.txt,Kristen,Oh okay. But y’know what? Be careful. Because a guy was helping me before had to leave because he hurt his back.,26
S07E17 The Cheap Wedding Dress.txt,Kristen,No.,26
S07E17 The Cheap Wedding Dress.txt,Kristen,Kristen.,27
S07E17 The Cheap Wedding Dress.txt,Kristen,Kristen.,28
S07E17 The Cheap Wedding Dress.txt,Kristen,"So uh, do you live around here?",29
S07E17 The Cheap Wedding Dress.txt,Kristen,I’ll remember that.,30
S07E17 The Cheap Wedding Dress.txt,Kristen,"Oh I, I have plans tonight.",30
S07E17 The Cheap Wedding Dress.txt,Kristen,But how about tomorrow?,30
S07E17 The Cheap Wedding Dress.txt,Kristen,"You look strong, why don’t I take that and you grab one of the boxes.",31
S07E17 The Cheap Wedding Dress.txt,Kristen,Oh great!,81
S07E17 The Cheap Wedding Dress.txt,Kristen,Is your back feeling better?,81
S07E17 The Cheap Wedding Dress.txt,Kristen,Joey!,82
S07E17 The Cheap Wedding Dress.txt,Kristen,Hi! What are you doing here?,82
S07E17 The Cheap Wedding Dress.txt,Kristen,"Well uh, Ross? This is Joey. Joey? Ross.",82
S07E17 The Cheap Wedding Dress.txt,Kristen,Our table will be ready in a couple minutes.,83
S07E17 The Cheap Wedding Dress.txt,Kristen,"Well Joey doesn’t like to talk about it but, he’s one of the stars of Days Of Our Lives.",84
S07E17 The Cheap Wedding Dress.txt,Kristen,"Yeah, little Eric.",84
S07E17 The Cheap Wedding Dress.txt,Kristen,You’ve been married twice?,84
S07E17 The Cheap Wedding Dress.txt,Kristen,You said the waiter ate my crab cake.,84
S07E17 The Cheap Wedding Dress.txt,Kristen,Do you two know each other?,85
