filename,character,dialogue,scene
S05E07 Ross Moves In.txt,Larry,"No, bribes.",8
S05E07 Ross Moves In.txt,Larry,"Yeah, I was just kidding.",9
S05E07 Ross Moves In.txt,Larry,I'll check the kitchen floors.,10
S05E07 Ross Moves In.txt,Larry,And where is your hat?,12
S05E07 Ross Moves In.txt,Larry,Ahh that's the 2 points.,13
S05E07 Ross Moves In.txt,Larry,"Oh, I don't know about that.",14
S05E07 Ross Moves In.txt,Larry,"Maybe uh, Vunda could give me her number and I can ask her to dinner sometime.",14
S05E07 Ross Moves In.txt,Larry,I-I'll call ya.,14
S05E07 Ross Moves In.txt,Larry,You look beautiful this evening.,31
S05E07 Ross Moves In.txt,Larry,Just walking past the kitchen I saw 10 violations! I'm shutting this place down!,37
S05E07 Ross Moves In.txt,Larry,Great! How about you wanted to go the Italian place down on Bleaker Street right?,83
S05E07 Ross Moves In.txt,Larry,How about Mama Lisettie's?,84
S05E07 Ross Moves In.txt,Larry,"Oh, so you're saying you'd choose convenience over health?!",88
S05E07 Ross Moves In.txt,Larry,"Well, I suppose I could give him a warning.",88
