filename,character,dialogue,scene
S03E20 The Dollhouse.txt,Lauren,I know! I-I’m a big fan of yours.,26
S03E20 The Dollhouse.txt,Lauren,"I used to umm, schedule my classes so I could watch Dr. Drake Remoray on Days of Our Lives.",27
S03E20 The Dollhouse.txt,Lauren,Absolutely!,27
S03E20 The Dollhouse.txt,Lauren,"Oh but then, they went and dropped you down that elevator shaft.",27
S03E20 The Dollhouse.txt,Lauren,Cool! I-I’ll see you then.,29
S03E20 The Dollhouse.txt,Lauren,You know! At the place I told you about last night?,49
S03E20 The Dollhouse.txt,Lauren,"Oh, okay.",49
S03E20 The Dollhouse.txt,Lauren,"Hi, pig!",73
S08E19 Joeys Interview.txt,Lauren,So this is it? Victor?,28
S03E22 The Screamer.txt,Lauren,Hey.,32
S03E22 The Screamer.txt,Lauren,"Oh, yeah! I-I ran into you in the hallway in your building. It was right after I slept with Joey. He dumped me the next day.",32
S03E22 The Screamer.txt,Lauren,Vic! Vic! Vic!!!,93
S03E22 The Screamer.txt,Lauren,So this is it? Victor?,95
