filename,character,dialogue,scene
S03E14 Phoebes Ex-Partner.txt,Leslie,"I ran into Vlad at the place where they sell the big fish, and he said you played here a lot, so umm....",9
S03E14 Phoebes Ex-Partner.txt,Leslie,"Yeah, but, I don’t do that anymore. I got kinda sick of it, and then I couldn’t come up with anything good, so they fired me.",14
S03E14 Phoebes Ex-Partner.txt,Leslie,"Well, I y'know, I was just, umm, I was just thinking and hoping, that umm, maybe you’d want to get back together?",14
S03E14 Phoebes Ex-Partner.txt,Leslie,Aw come on Phoebe would you just think about it?,14
S03E14 Phoebes Ex-Partner.txt,Leslie,"Wow, that’s great.",54
S03E14 Phoebes Ex-Partner.txt,Leslie,"Y'know you could totally sell this. It’d be perfect for like umm, a kitty litter campaign.",54
S03E14 Phoebes Ex-Partner.txt,Leslie,What? Why not? You could make a ton of money.,54
S03E14 Phoebes Ex-Partner.txt,Leslie,"Aw, you’re right, you’re right. I’m sorry.",54
S03E14 Phoebes Ex-Partner.txt,Leslie,"I played Smelly Cat for the people at my old ad agency, they went nuts.",76
S03E14 Phoebes Ex-Partner.txt,Leslie,"No, no, I don’t want to forget it.",76
S01E04 George Stephanopoulos.txt,Leslie,I know. I know! I'm a duplex.,19
S01E04 George Stephanopoulos.txt,Leslie,Well. Your mom didn't tell us about the blobbies.,33
