filename,character,dialogue,scene
S07E18 Joeys Award.txt,Lewis,What kinda noise?,10
S07E18 Joeys Award.txt,Lewis,But like how?,10
S07E18 Joeys Award.txt,Lewis,Professor Geller?,61
S07E18 Joeys Award.txt,Lewis,"I know I didn’t do well on my midterms and stuff but, I was kinda hoping you could change my grade.",62
S07E18 Joeys Award.txt,Lewis,Because I’m in love with you.,63
S07E18 Joeys Award.txt,Lewis,"Yeah, I’m all…in love with you and stuff. So could you change my grade?",64
S07E18 Joeys Award.txt,Lewis,Well why not you changed Ned’s grade!,64
S07E18 Joeys Award.txt,Lewis,No he’s not! He’s totally yanking your chain! He’s done this with three other teachers!,64
S07E18 Joeys Award.txt,Lewis,He’s got a girlfriend!,64
S07E18 Joeys Award.txt,Lewis,I know! It’s awful. I love you.,64
