filename,character,dialogue,scene
S01E19 The Monkey Gets Away.txt,Luisa,Marcel?,30
S01E19 The Monkey Gets Away.txt,Luisa,"Oookay. Are you aware that possession of an illegal exotic is, uh, punishable by up to two years in prison and confiscation of the animal?",30
S01E19 The Monkey Gets Away.txt,Luisa,"Oh my God, you are! And you're Rachel Green!",30
S01E19 The Monkey Gets Away.txt,Luisa,Luisa Gianetti! Lincoln High? I sat behind you guys in home room!,30
S01E19 The Monkey Gets Away.txt,Luisa,"You have no idea who I am, do you.",30
S01E19 The Monkey Gets Away.txt,Luisa,"Well, maybe that's because you spent four years ignoring me. I mean, would it have been so hard to say 'Morning, Luisa'? Or 'Nice overalls'?",30
S01E19 The Monkey Gets Away.txt,Luisa,Just a small tranquiliser.,44
S01E19 The Monkey Gets Away.txt,Luisa,You're both gonna have to take this up with the judge.,60
S01E19 The Monkey Gets Away.txt,Luisa,No!,60
S01E19 The Monkey Gets Away.txt,Luisa,"Sorry, prom queen.",60
S01E19 The Monkey Gets Away.txt,Luisa,Nope.,61
