filename,character,dialogue,scene
S01E23 The Birth.txt,Lydia,Knick fan?,20
S01E23 The Birth.txt,Lydia,"Oh, boy, do they suck.",20
S01E23 The Birth.txt,Lydia,"Look, look at your man, Ewing. Nice shot. You know what, he couldn't hit water if he was standing on a boat.",21
S01E23 The Birth.txt,Lydia,The Celtics.,21
S01E23 The Birth.txt,Lydia,"Oh, shut up. You know, it's a rebuilding year. You... waah!",21
S01E23 The Birth.txt,Lydia,There is no father.,21
S01E23 The Birth.txt,Lydia,"Ok, that's ok. I'm fine. I'm... oh!",21
S01E23 The Birth.txt,Lydia,Ok.,21
S01E23 The Birth.txt,Lydia,She's not much of a phone person.,35
S01E23 The Birth.txt,Lydia,"Hey, Knick fan, am I interested in your views on fatherhood? Uh, no.",35
S01E23 The Birth.txt,Lydia,Maybe you should.,35
S01E23 The Birth.txt,Lydia,"Oh, that is so not true.",36
S01E23 The Birth.txt,Lydia,It isn't.,36
S01E23 The Birth.txt,Lydia,Isn't!,36
S01E23 The Birth.txt,Lydia,"Oh, no.",42
S01E23 The Birth.txt,Lydia,So how did you know I was even here?,66
S01E23 The Birth.txt,Lydia,"No, this is a loaner.",66
S01E23 The Birth.txt,Lydia,"Yeah, they're not so bad.",67
S06E18 Ross Dates A Student.txt,Lydia,Aren’t you in my Popular Culture class?,83
