filename,character,dialogue,scene
S03E03 The Jam.txt,Malcom,Here's my binoculars.,38
S03E03 The Jam.txt,Malcom,"These are my night vision goggles. This is the book I pretend to read when I'm watching her in the park. And these are Mad Lips, they're just for fun.",38
S03E03 The Jam.txt,Malcom,"Oh, this is log I kept, recording her every movement. Do you wanna here something from it?",39
S03E03 The Jam.txt,Malcom,It's about you.,39
S03E03 The Jam.txt,Malcom,I was thinking what it would be like to kiss you.,40
S03E03 The Jam.txt,Malcom,No.,40
S03E03 The Jam.txt,Malcom,"See that's just something I said now, so that maybe I could kiss you.",40
S03E03 The Jam.txt,Malcom,Phoebe?,53
S03E03 The Jam.txt,Malcom,What are you doing?,53
S03E03 The Jam.txt,Malcom,Were you following me?,54
S03E03 The Jam.txt,Malcom,"I'm sorry. I'm sorry. I tried to stop, but I couldn't. I'm so pathetic.",55
S03E03 The Jam.txt,Malcom,"Uh-huh, I don't know.",56
