filename,character,dialogue,scene
S01E24 Rachel Finds Out.txt,Man,"For God's sake, will you let it go? There's no Rachel!",95
S10E17-S10E18 The Last One Part I  II.txt,Man,18th and East End.,86
S10E17-S10E18 The Last One Part I  II.txt,Man,Hey! The law says you have to accept any fare.,86
S10E17-S10E18 The Last One Part I  II.txt,Man,"Alright, I gotta report you. What's your medallion number?",86
S10E17-S10E18 The Last One Part I  II.txt,Man,What?,86
S07E04 Rachels Assistant.txt,Man,Hello?,23
S07E04 Rachels Assistant.txt,Man,"Actually, I’m here about the assistant job.",24
S07E04 Rachels Assistant.txt,Man,Tag Jones.,25
S10E14 Princess Consuela.txt,Man,"Hey Rach, I just heard. I'm so sorry.",72
S10E14 Princess Consuela.txt,Man,"You still don't know my name, do you?",73
S08E03 Rachel Tells....txt,Man,Who are you?,78
S03E22 The Screamer.txt,Man,"Umm, no, I don’t think so.",22
S03E22 The Screamer.txt,Man,"Oh, well I thought that ah…",24
S03E22 The Screamer.txt,Man,"Uh, the usher told us to come…",24
S08E20 The Baby Shower.txt,Man,"Hey Joey, hi! I’m Ray; I’m the producer of the show.",61
S10E11 The Stripper Cries.txt,Man,It's the police!,39
S10E11 The Stripper Cries.txt,Man,"That's right, it's officer Goodbody.",41
S08E23 Rachel Has A Baby.txt,Man,Thank you very much.,18
S08E23 Rachel Has A Baby.txt,Man,"Oh no-no, not at all.",19
S08E23 Rachel Has A Baby.txt,Man,"Marc Coreger, this is my wife Julie.",19
S08E23 Rachel Has A Baby.txt,Man,Hi!,57
S08E23 Rachel Has A Baby.txt,Man,"Oh uh, up or down?",57
S08E23 Rachel Has A Baby.txt,Man,Could you press up too please?,58
S08E23 Rachel Has A Baby.txt,Man,Oh yeah? How’d yours happen?,58
S08E23 Rachel Has A Baby.txt,Man,Car accident.,59
S08E23 Rachel Has A Baby.txt,Man,"Oh, let me guess some idiot on a cell phone wasn’t paying attention?",59
S08E23 Rachel Has A Baby.txt,Man,"Well umm, if you have sometime y’know and maybe you might want to visit someone else…",60
S08E23 Rachel Has A Baby.txt,Man,Really? I’ve been dealing with Dr. Wells.,89
S08E23 Rachel Has A Baby.txt,Man,Dr. Wells is a woman.,89
S08E23 Rachel Has A Baby.txt,Man,Clifford Burnett.,89
S09E11 Rachel Goes Back To Work.txt,Man,"So, I'm surprised you agreed to have lunch with me.",38
S09E11 Rachel Goes Back To Work.txt,Man,I'm not your brother.,50
S07E22 Chandlers Dad.txt,Man,Hey guys!,23
S07E22 Chandlers Dad.txt,Man,Ready to go?,23
S07E22 Chandlers Dad.txt,Man,Over a month.,26
S07E22 Chandlers Dad.txt,Man,"Sure, I’d like that.",26
S02E14 The Prom Video.txt,Man,"Sure will. I've uh, gotta go. Take care.",26
S05E13 Joeys Bag.txt,Man,"Oops, I'm sorry. Excuse me. Is this the umm, the memorial?",35
S05E13 Joeys Bag.txt,Man,Hello. Hello.,36
S05E13 Joeys Bag.txt,Man,"Oh, umm, all right.",36
S05E13 Joeys Bag.txt,Man,"Well I actually, I-I really, I haven't seen her for years. But umm, well I-I was pretty tight with-with her and her daughter.",36
S05E13 Joeys Bag.txt,Man,"Umm, Frank Buffay.",36
S08E18 In Massapequa.txt,Man,Rachel!,20
S08E18 In Massapequa.txt,Man,So we never got to hear about your wedding!,28
S08E18 In Massapequa.txt,Man,Where did you have it?,28
