filename,character,dialogue,scene
S03E09 The Football.txt,Margha,"Hello, Chandler.",34
S03E09 The Football.txt,Margha,Margha.,34
S03E09 The Football.txt,Margha,Mar-gha.,34
S03E09 The Football.txt,Margha,"It is okay, if I stay and watch?",37
S03E09 The Football.txt,Margha,"Oh, my.",64
S03E09 The Football.txt,Margha,Which do I like?,64
S03E09 The Football.txt,Margha,"Well, if I had to chose right now, which by the way I find really weird, I would have to say, Chandler.",64
S03E09 The Football.txt,Margha,"I’m sorry, Joey, that is my chose.",64
S03E09 The Football.txt,Margha,"I’m now thinking I would like to change my answer to, no one.",65
S03E09 The Football.txt,Margha,"I now find you shallow and um, a dork. All right, bye.",65
