filename,character,dialogue,scene
S03E16 The Morning After.txt,Mark,"Hey, what do you want to drink?",9
S03E11 Chandler Cant Remember Which Sister.txt,Mark,Rachel?,99
S03E11 Chandler Cant Remember Which Sister.txt,Mark,"Hi. I just talked to Joanna, and she loves you. You got it, you got the job.",100
S03E11 Chandler Cant Remember Which Sister.txt,Mark,Yes.,100
S03E19 The Tiny T-Shirt.txt,Mark,"Um, y'know, before we go ah, there’s something I need to say.",4
S03E19 The Tiny T-Shirt.txt,Mark,Why do all you’re coffee mugs have numbers on the bottom?,46
S03E19 The Tiny T-Shirt.txt,Mark,No. And I don’t think I’m gonna want to.,47
S03E19 The Tiny T-Shirt.txt,Mark,"Yep. Yep, that’s what I didn’t want to know.",47
S03E19 The Tiny T-Shirt.txt,Mark,"Ahh! Fair, schmair! Y'know? Look, if you want to get back at Ross, I am here for you. Really? No-no, I say-I say, I say we get back at him right on this couch. Right here!",47
S03E19 The Tiny T-Shirt.txt,Mark,That’s okay.,47
S03E19 The Tiny T-Shirt.txt,Mark,Yeah. I can just go home and get back at him by myself.,47
S10E14 Princess Consuela.txt,Mark,Rachel?,78
S10E14 Princess Consuela.txt,Mark,How've you been?,79
S10E14 Princess Consuela.txt,Mark,"Yeah, a box full of your desk stuff doesn't exactly say big promotion.",83
S10E14 Princess Consuela.txt,Mark,"Are you sure, because we may have something at Louis Vuitton.",83
S10E14 Princess Consuela.txt,Mark,Why don't we have dinner tonight and talk about it?,83
S03E12 All The Jealousy.txt,Mark,"...and the style number, and the invoice number, and the shipping date. Good. Any questions so far?",17
S03E12 All The Jealousy.txt,Mark,Twenty percent.,17
S03E12 All The Jealousy.txt,Mark,And who may I say is calling?,20
S03E12 All The Jealousy.txt,Mark,Ross of.....,20
S03E12 All The Jealousy.txt,Mark,"Oh hi. It's, it's Mark.",20
S03E12 All The Jealousy.txt,Mark,"Hey, hold on a second.",20
S03E12 All The Jealousy.txt,Mark,Wh-what's that?,51
S03E12 All The Jealousy.txt,Mark,Wow! Somebody wants people to know you have a boyfriend.,51
S03E12 All The Jealousy.txt,Mark,"It's okay, Rachel knows.",61
S03E12 All The Jealousy.txt,Mark,"I can't help it, I'm just, I'm just crazy about you.",62
S03E12 All The Jealousy.txt,Mark,"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me.",64
S03E12 All The Jealousy.txt,Mark,What is going on?,65
S03E14 Phoebes Ex-Partner.txt,Mark,"Hi, Ross.",29
S03E14 Phoebes Ex-Partner.txt,Mark,"Actually, it’s kinda my fault. I-I quit today.",29
S03E14 Phoebes Ex-Partner.txt,Mark,"Okay, then.",31
S03E14 Phoebes Ex-Partner.txt,Mark,"Yeah, me too.",31
S03E14 Phoebes Ex-Partner.txt,Mark,"So, see ya on Saturday.",32
S03E15 Ross And Rachel Take A Break.txt,Mark,"Oh, hi. It’s Mark.",78
S03E15 Ross And Rachel Take A Break.txt,Mark,What? Is it my breath?,79
S03E15 Ross And Rachel Take A Break.txt,Mark,"Hi. Well, look, I was just gonna leave a message, isn’t tonight your, your big anniversary dinner?",79
S03E15 Ross And Rachel Take A Break.txt,Mark,"Rach, are you okay?",79
S03E15 Ross And Rachel Take A Break.txt,Mark,"You wanna talk, I mean I can come over?",80
S03E15 Ross And Rachel Take A Break.txt,Mark,"All right, all right, I’m coming over, and I’m bringing Chinese food.",80
S03E15 Ross And Rachel Take A Break.txt,Mark,It’s for me.,80
S03E15 Ross And Rachel Take A Break.txt,Mark,Wow. I’m sorry. Eggroll?,83
S03E15 Ross And Rachel Take A Break.txt,Mark,"Well, then he’s, he’s probably just, out.",84
S03E15 Ross And Rachel Take A Break.txt,Mark,"Hey, what do you want to drink?",85
S03E15 Ross And Rachel Take A Break.txt,Mark,Is it okay if I finish the apple juice?,85
