filename,character,dialogue,scene
S01E10 The Monkey.txt,Max,"No. No, that's- that's okay.",16
S01E10 The Monkey.txt,Max,Daryl Hannah.,18
S01E10 The Monkey.txt,Max,Hard quality.,18
S01E10 The Monkey.txt,Max,Phoebe. Hi.,37
S01E10 The Monkey.txt,Max,No. Have you seen David?,37
S01E10 The Monkey.txt,Max,"Well, if you see him, tell him to pack his bags. We are going to Minsk.",37
S01E10 The Monkey.txt,Max,Minsk. It's in Russia.,37
S01E10 The Monkey.txt,Max,"We got the grant. Three years, all expenses paid.",37
S01E10 The Monkey.txt,Max,January first.,37
S01E10 The Monkey.txt,Max,It'd be even more exciting if we were going.,40
